chub
n;m;a;i;s;opt;it;time;optcore;itcore;timecore;best
int;int;float;int;int;int;int;float;int;int;float;int
100;10;0.50;1;7;40296;298;1.784911;41331;12;0.236362;41395
100;10;0.50;1;8;40169;297;1.459162;41331;2;0.228637;41395
100;10;0.50;1;9;40033;291;1.504152;41331;6;0.239187;41395
100;10;0.50;1;10;40237;262;1.631112;41331;6;0.212288;41395
100;10;0.50;2;1;41406;267;1.453228;42157;10;0.168020;42344
100;10;0.50;2;2;40524;283;1.338478;42157;8;0.220605;42344
100;10;0.50;2;3;41323;245;1.366251;42157;6;0.184114;42344
100;10;0.50;2;4;41324;284;1.085684;42157;1;0.208001;42344
100;10;0.50;2;5;40598;282;1.331873;42157;0;0.209090;42344
100;10;0.50;2;6;40959;257;1.416910;42157;0;0.199133;42344
100;10;0.50;2;7;40834;289;1.454798;42157;0;0.154501;42344
100;10;0.50;2;8;41023;250;1.520280;42157;1;0.251162;42344
100;10;0.50;2;9;41072;226;1.659536;42157;8;0.282064;42344
100;10;0.50;2;10;40786;251;1.684120;42157;2;0.217473;42344
100;10;0.50;3;1;41191;272;1.625043;42306;8;0.272511;42401
100;10;0.50;3;2;40370;287;1.692911;42306;49;0.337362;42401
100;10;0.50;3;3;41059;286;1.485829;42278;11;0.279475;42401
100;10;0.50;3;4;40866;285;1.596767;42306;1;0.305630;42401
100;10;0.50;3;5;41243;284;1.526927;42306;9;0.372347;42401
100;10;0.50;3;6;41178;252;1.491295;42306;17;0.438558;42401
100;10;0.50;3;7;41094;286;1.624151;42306;4;0.349807;42401
100;10;0.50;3;8;41125;271;1.613738;42306;2;0.333287;42401
100;10;0.50;3;9;40488;291;1.649961;42306;15;0.285319;42401
100;10;0.50;3;10;40959;247;1.677854;42306;4;0.300671;42401
100;10;0.50;4;1;43933;294;1.809405;45408;6;0.238128;45624
100;10;0.50;4;2;43681;283;1.858087;45408;6;0.254379;45624
100;10;0.50;4;3;44384;296;1.783737;45408;21;0.269079;45624
100;10;0.50;4;4;44438;261;1.705264;45408;12;0.261297;45624
100;10;0.50;4;5;43594;234;1.906841;45408;4;0.221890;45624
100;10;0.50;4;6;43501;276;1.893381;45408;3;0.261867;45624
100;10;0.50;4;7;43649;288;1.779296;45408;3;0.240070;45624
100;10;0.50;4;8;43709;276;1.696518;45408;2;0.205610;45624
100;10;0.50;4;9;44304;272;1.563832;45408;5;0.145306;45624
100;10;0.50;4;10;43791;289;1.455168;45408;14;0.174035;45624
100;10;0.75;1;1;56427;250;1.146792;57375;28;0.229744;57375
100;10;0.75;1;2;56017;203;1.414794;57375;11;0.222943;57375
100;10;0.75;1;3;56190;292;1.425540;57375;23;0.209751;57375
100;10;0.75;1;4;56397;277;1.449419;57375;9;0.214036;57375
100;10;0.75;1;5;56393;273;1.644647;57234;14;0.262453;57375
100;10;0.75;1;6;56561;270;1.567108;57375;4;0.268035;57375
100;10;0.75;1;7;56447;293;1.635814;57375;5;0.261505;57375
100;10;0.75;1;8;56759;290;1.745012;57375;11;0.232650;57375
100;10;0.75;1;9;56578;296;1.163121;57375;16;0.269292;57375
100;10;0.75;1;10;56691;287;1.797389;57375;7;0.211856;57375
100;10;0.75;2;1;57906;177;1.157545;58978;0;0.287523;58978
100;10;0.75;2;2;57932;225;1.355375;58978;1;0.302407;58978
100;10;0.75;2;3;57752;142;1.092855;58978;6;0.341209;58978
100;10;0.75;2;4;57584;80;0.866979;58978;0;0.229754;58978
100;10;0.75;2;5;57618;236;1.064459;58978;9;0.312645;58978
100;10;0.75;2;6;57766;282;1.161947;58978;1;0.331841;58978
100;10;0.75;2;7;57584;143;0.898385;58978;16;0.299128;58978
100;10;0.75;2;8;57636;208;1.400502;58978;15;0.325889;58978
100;10;0.75;2;9;57843;201;1.115926;58978;4;0.296881;58978
100;10;0.75;2;10;57754;298;1.350032;58978;35;0.369411;58978
100;10;0.75;3;1;57426;242;1.405031;58310;7;0.240405;58391
100;10;0.75;3;2;57383;295;1.513823;58310;2;0.199923;58391
100;10;0.75;3;3;57548;245;1.477165;58310;17;0.247506;58391
100;10;0.75;3;4;57782;294;1.720094;58310;3;0.227261;58391
100;10;0.75;3;5;57710;234;1.590792;58310;16;0.212575;58391
100;10;0.75;3;6;57438;268;1.515147;58310;4;0.233951;58391
100;10;0.75;3;7;57669;286;1.651896;58310;14;0.238658;58391
100;10;0.75;3;8;57989;190;1.120902;58310;4;0.229377;58391
100;10;0.75;3;9;57571;290;1.543533;58310;1;0.227113;58391
100;10;0.75;3;10;57661;243;1.495231;58310;34;0.210359;58391
100;10;0.75;4;1;60784;240;1.624276;61966;33;0.245836;61966
100;10;0.75;4;2;60797;259;1.237231;61966;0;0.184081;61966
100;10;0.75;4;3;60765;292;1.637695;61966;3;0.254125;61966
100;10;0.75;4;4;60745;275;1.777029;61966;22;0.277647;61966
100;10;0.75;4;5;61004;223;1.695063;61966;0;0.170497;61966
100;10;0.75;4;6;61146;239;1.170876;61966;10;0.224151;61966
100;10;0.75;4;7;61010;298;1.900734;61966;22;0.229539;61966
100;10;0.75;4;8;60636;275;1.409065;61966;30;0.272363;61966
100;10;0.75;4;9;61287;275;1.758437;61966;0;0.196745;61966
100;10;0.75;4;10;60997;273;1.603785;61966;15;0.244176;61966
100;30;0.25;1;1;21061;207;1.774432;21577;272;0.975124;21946
100;30;0.25;1;2;20928;152;1.583949;21505;159;1.130599;21946
100;30;0.25;1;3;20959;212;1.871176;21719;157;1.033849;21946
100;30;0.25;1;4;20749;275;1.716567;21327;262;1.105421;21946
100;30;0.25;1;5;21011;218;2.223765;21518;213;1.067356;21946
100;30;0.25;1;6;20827;139;1.641538;21577;235;1.136512;21946
100;30;0.25;1;7;21028;287;1.899240;21397;286;1.161664;21946
100;30;0.25;1;8;21012;255;1.999656;21505;239;1.143334;21946
100;30;0.25;1;9;20640;224;2.093277;21538;129;0.658530;21946
100;30;0.25;1;10;20613;292;1.865373;21538;35;0.697781;21946
100;30;0.25;2;1;20714;250;1.865768;21160;62;0.989022;21716
100;30;0.25;2;2;20381;146;1.579759;21356;145;1.187148;21716
100;30;0.25;2;3;20248;196;1.663056;21138;201;1.263718;21716
100;30;0.25;2;4;20449;285;1.902537;21177;114;0.894171;21716
100;30;0.25;2;5;20792;236;1.498996;21215;133;1.092811;21716
100;30;0.25;2;6;20531;275;1.652406;21114;260;0.849376;21716
100;30;0.25;2;7;20555;207;1.581119;21217;218;1.256253;21716
100;30;0.25;2;8;20712;270;1.653415;21246;85;1.236221;21716
100;30;0.25;2;9;20845;290;1.963991;21197;110;0.849019;21716
100;30;0.25;2;10;20349;119;1.266645;21414;281;1.163113;21716
100;30;0.25;3;1;20224;252;1.931669;20313;154;1.138201;20754
100;30;0.25;3;2;19880;209;2.020422;20332;173;1.519212;20754
100;30;0.25;3;3;19439;194;1.616186;20241;157;1.305115;20754
100;30;0.25;3;4;19881;286;2.135667;20302;72;1.418388;20754
100;30;0.25;3;5;19530;260;2.236319;20233;233;1.589865;20754
100;30;0.25;3;6;20067;253;2.000192;20330;288;1.459553;20754
100;30;0.25;3;7;19854;263;2.041432;20405;255;1.296336;20754
100;30;0.25;3;8;19606;116;0.980266;20275;124;1.382742;20754
100;30;0.25;3;9;19648;295;1.687270;20400;34;1.288979;20754
100;30;0.25;3;10;19862;241;1.910910;20313;19;1.385776;20754
100;30;0.25;4;1;20551;229;1.303402;21229;216;0.874409;21464
100;30;0.25;4;2;20493;124;1.552327;21078;76;1.152906;21464
100;30;0.25;4;3;20296;216;1.286389;20827;236;1.256411;21464
100;30;0.25;4;4;20426;253;2.075077;21111;98;1.134260;21464
100;30;0.25;4;5;20548;277;2.126280;20820;179;1.082297;21464
100;30;0.25;4;6;20358;138;1.404571;21023;255;1.198760;21464
100;30;0.25;4;7;20819;223;1.576582;20883;34;1.327448;21464
100;30;0.25;4;8;20426;275;1.688350;21112;102;1.044610;21464
100;30;0.25;4;9;20220;210;1.636388;20887;226;1.060986;21464
100;30;0.25;4;10;20301;160;1.643213;21106;149;1.208797;21464
100;30;0.50;1;1;39366;228;1.915750;40406;248;1.135933;40767
100;30;0.50;1;2;39665;266;1.860916;40315;262;0.898802;40767
100;30;0.50;1;3;39833;291;1.502116;40253;272;1.046721;40767
100;30;0.50;1;4;39107;266;1.359939;40357;149;1.128934;40767
100;30;0.50;1;5;39222;282;1.996071;40318;42;1.290341;40767
100;30;0.50;1;6;39667;230;1.737327;40285;71;1.216929;40767
100;30;0.50;1;7;39335;192;1.623877;40434;240;1.305804;40767
100;30;0.50;1;8;39608;245;1.373929;40473;155;1.158010;40767
100;30;0.50;1;9;39480;266;1.948283;40321;164;1.230856;40767
100;30;0.50;1;10;39655;238;1.378128;40282;247;1.147382;40767
100;30;0.50;2;1;39810;290;1.467148;40895;235;1.229575;41308
100;30;0.50;2;2;39852;249;1.649587;40959;72;1.123863;41308
100;30;0.50;2;3;40241;277;1.870242;40977;293;1.155729;41308
100;30;0.50;2;4;39295;236;1.830103;40924;234;1.157105;41308
100;30;0.50;2;5;39801;290;1.995212;40954;132;1.117417;41308
100;30;0.50;2;6;39895;290;1.440281;40959;99;1.178763;41308
100;30;0.50;2;7;39663;275;1.688930;41009;95;1.230772;41308
100;30;0.50;2;8;39753;259;2.169997;41008;164;1.218109;41308
100;30;0.50;2;9;39557;258;1.729866;41033;176;1.156405;41308
100;30;0.50;2;10;39677;289;1.933216;40865;223;1.166572;41308
100;30;0.50;3;1;40434;254;1.615978;41264;113;0.766483;41630
100;30;0.50;3;2;40401;262;1.390401;41264;145;0.702763;41630
100;30;0.50;3;3;40263;266;2.117397;41326;72;0.648449;41630
100;30;0.50;3;4;40408;262;1.861227;41259;241;0.974473;41630
100;30;0.50;3;5;40502;225;1.628227;41302;229;1.121520;41630
100;30;0.50;3;6;40042;294;1.675189;41275;138;1.051293;41630
100;30;0.50;3;7;40624;284;1.833691;41326;106;0.757008;41630
100;30;0.50;3;8;40078;277;2.027654;41207;294;1.081120;41630
100;30;0.50;3;9;40414;282;2.024840;41375;280;0.955704;41630
100;30;0.50;3;10;40092;292;1.698264;41274;97;0.683204;41630
100;30;0.50;4;1;38503;255;2.070945;40804;167;0.735461;41041
100;30;0.50;4;2;39029;243;1.988630;40674;147;0.659531;41041
100;30;0.50;4;3;39144;298;2.015664;40804;168;0.636700;41041
100;30;0.50;4;4;39638;276;2.085344;40671;81;0.579359;41041
100;30;0.50;4;5;38865;299;2.133718;40650;40;0.914448;41041
100;30;0.50;4;6;38856;297;2.086233;40814;54;0.524160;41041
100;30;0.50;4;7;38923;206;1.822676;40780;224;0.582035;41041
100;30;0.50;4;8;39312;299;1.417012;40709;180;0.627228;41041
100;30;0.50;4;9;39671;295;2.089921;40664;124;0.606645;41041
100;30;0.50;4;10;39506;270;1.688482;40771;283;0.869315;41041
100;30;0.75;1;1;55795;266;2.008267;57307;191;0.931935;57494
100;30;0.75;1;2;56132;292;2.006308;57267;191;1.144232;57494
100;30;0.75;1;3;56038;258;2.146283;57269;217;0.868435;57494
100;30;0.75;1;4;56517;291;1.764744;57223;177;0.693632;57494
100;30;0.75;1;5;55979;207;1.498812;57404;268;1.079425;57494
100;30;0.75;1;6;56507;281;1.859668;57133;211;1.078966;57494
100;30;0.75;1;7;55825;256;1.875439;57404;167;1.046589;57494
100;30;0.75;1;8;56041;288;1.986398;57267;282;1.253531;57494
100;30;0.75;1;9;56418;286;1.945826;57404;210;1.172589;57494
100;30;0.75;1;10;56298;291;1.936949;57377;167;0.978448;57494
100;30;0.75;2;1;59197;261;1.864372;59801;271;1.103031;60027
100;30;0.75;2;2;59441;244;2.045336;59721;164;1.122410;60027
100;30;0.75;2;3;58760;278;2.269968;59731;96;1.110420;60027
100;30;0.75;2;4;58832;250;2.104086;59986;141;0.907776;60027
100;30;0.75;2;5;59118;284;1.926174;59695;208;1.050034;60027
100;30;0.75;2;6;58748;255;1.963705;59778;246;1.034053;60027
100;30;0.75;2;7;58913;294;1.996054;59789;239;0.962393;60027
100;30;0.75;2;8;58533;288;2.119297;59857;243;1.157110;60027
100;30;0.75;2;9;58873;278;1.827076;59655;110;0.680021;60027
100;30;0.75;2;10;58789;280;1.998975;59832;76;0.715296;60027
100;30;0.75;3;1;56911;258;1.567043;57669;35;0.655711;58052
100;30;0.75;3;2;57191;228;1.368346;57771;62;1.048546;58052
100;30;0.75;3;3;56740;157;1.366631;57741;181;0.996010;58052
100;30;0.75;3;4;57024;144;1.183806;57918;58;1.051696;58052
100;30;0.75;3;5;56870;200;1.794754;57772;68;1.016985;58052
100;30;0.75;3;6;57099;239;1.431558;57784;269;1.184112;58052
100;30;0.75;3;7;57358;256;1.648482;57824;266;0.929281;58052
100;30;0.75;3;8;57197;172;1.161901;57890;275;1.012526;58052
100;30;0.75;3;9;57118;267;1.629057;57860;114;0.801331;58052
100;30;0.75;3;10;57248;274;1.624180;57833;277;0.961031;58052
100;30;0.75;4;1;60217;257;1.788926;60466;119;0.728748;60776
100;30;0.75;4;2;60184;152;1.350550;60351;62;0.444011;60776
100;30;0.75;4;3;60277;232;1.388999;60345;17;0.519635;60776
100;30;0.75;4;4;60177;292;1.888151;60468;209;0.966820;60776
100;30;0.75;4;5;60073;214;1.683669;60663;274;0.780890;60776
100;30;0.75;4;6;60490;292;1.515256;60652;133;0.703996;60776
100;30;0.75;4;7;60131;166;1.434204;60472;82;0.564052;60776
100;30;0.75;4;8;60334;205;1.490293;60485;96;0.726659;60776
100;30;0.75;4;9;59964;280;1.539530;60423;70;0.704639;60776
100;30;0.75;4;10;60135;261;1.548380;60663;103;0.589535;60776
250;5;0.25;1;1;54967;282;2.487859;59194;187;0.699661;59312
250;5;0.25;1;2;55285;251;3.066311;59219;182;0.693476;59312
250;5;0.25;1;3;55205;277;2.915033;59219;38;0.700079;59312
250;5;0.25;1;4;55584;270;2.808685;59210;288;0.783297;59312
250;5;0.25;1;5;54944;283;2.779611;59194;36;0.822639;59312
250;5;0.25;1;6;55132;266;2.905103;59207;75;0.821414;59312
250;5;0.25;1;7;56004;266;2.949299;59210;126;0.825383;59312
250;5;0.25;1;8;55361;295;2.981340;59225;95;0.681920;59312
250;5;0.25;1;9;54858;263;2.999133;59210;64;0.734715;59312
250;5;0.25;1;10;55936;251;2.912328;59207;146;0.749564;59312
250;5;0.25;2;1;56915;253;3.198190;61372;118;0.675718;61472
250;5;0.25;2;2;57303;292;2.552825;61420;90;0.712076;61472
250;5;0.25;2;3;57041;232;2.817556;61372;270;0.528484;61472
250;5;0.25;2;4;57570;243;2.718187;61410;259;0.610873;61472
250;5;0.25;2;5;57656;280;3.439851;61399;163;0.764200;61472
250;5;0.25;2;6;57216;262;2.458632;61362;218;0.664256;61472
250;5;0.25;2;7;57114;295;2.917220;61399;104;0.723063;61472
250;5;0.25;2;8;57293;299;2.803616;61438;6;0.793204;61472
250;5;0.25;2;9;57377;297;2.907525;61408;158;0.771496;61472
250;5;0.25;2;10;57400;269;3.142196;61343;173;0.671299;61472
250;5;0.25;3;1;57457;190;3.203004;61998;190;0.688808;62130
250;5;0.25;3;2;57021;288;2.559711;62044;73;0.735154;62130
250;5;0.25;3;3;57326;296;2.860114;62014;90;0.824916;62130
250;5;0.25;3;4;57331;285;2.747942;62065;280;0.726828;62130
250;5;0.25;3;5;57377;267;2.625648;62009;53;0.758318;62130
250;5;0.25;3;6;57032;220;2.930695;61996;41;0.707804;62130
250;5;0.25;3;7;57800;280;2.778597;62050;123;0.541822;62130
250;5;0.25;3;8;57612;188;2.641681;62014;10;0.708839;62130
250;5;0.25;3;9;57579;285;2.864641;62065;285;0.680662;62130
250;5;0.25;3;10;57180;274;2.995541;62011;40;0.699221;62130
250;5;0.25;4;1;55906;298;2.962430;59341;242;0.509232;59463
250;5;0.25;4;2;55593;259;2.812454;59361;234;0.710308;59463
250;5;0.25;4;3;55135;292;2.986332;59354;229;0.637317;59463
250;5;0.25;4;4;55842;267;3.168578;59366;62;0.667457;59463
250;5;0.25;4;5;56287;280;2.902023;59365;66;0.766206;59463
