mokp
cls;ndim;m;n;i;nd;comp;time;maxnd
char;int;int;int;int;int;int;float;int
C;4;4;10;2;15;1271;0.000;39
C;1;4;10;3;8;2534;0.000;32
C;2;4;10;3;8;1445;0.000;32
C;3;4;10;3;8;1165;0.000;32
C;4;4;10;3;8;1153;0.000;32
C;1;4;10;4;21;5579;0.000;61
C;2;4;10;4;21;2817;0.000;61
C;3;4;10;4;21;2334;0.000;61
C;4;4;10;4;21;2130;0.000;61
C;1;4;10;5;12;9639;0.000;81
C;2;4;10;5;12;7344;0.000;81
C;3;4;10;5;12;2766;0.000;81
C;4;4;10;5;12;2692;0.000;81
C;1;4;10;6;32;6432;0.000;62
C;2;4;10;6;32;3200;0.000;62
C;3;4;10;6;32;2328;0.000;62
C;4;4;10;6;32;2300;0.000;62
C;1;4;10;7;28;8587;0.000;84
C;2;4;10;7;28;3626;0.000;84
C;3;4;10;7;28;2626;0.000;84
C;4;4;10;7;28;2570;0.000;84
C;1;4;10;8;26;3878;0.000;46
C;2;4;10;8;26;2282;0.000;46
C;3;4;10;8;26;1412;0.000;46
C;4;4;10;8;26;1401;0.000;46
C;1;4;10;9;12;10639;0.000;94
C;2;4;10;9;12;4532;0.000;94
C;3;4;10;9;12;2992;0.000;94
C;4;4;10;9;12;2932;0.000;94
C;1;4;10;10;36;17231;0.001;100
C;2;4;10;10;36;7233;0.001;100
C;3;4;10;10;36;3796;0.000;100
C;4;4;10;10;36;3791;0.000;100
C;1;4;20;1;729;18584964;0.343;4293
C;2;4;20;1;728;6427010;0.232;4289
C;3;4;20;1;728;627078;0.101;4289
C;4;4;20;1;728;337624;0.093;4289
C;1;4;20;2;186;1911999;0.032;1169
C;2;4;20;2;184;1032250;0.034;1166
C;3;4;20;2;184;125359;0.019;1166
C;4;4;20;2;184;102853;0.018;1166
C;1;4;20;3;236;3312630;0.055;1657
C;2;4;20;3;236;1286552;0.046;1657
C;3;4;20;3;236;178791;0.028;1657
C;4;4;20;3;236;141006;0.028;1657
C;1;4;20;4;209;6497247;0.115;2558
C;2;4;20;4;208;3367900;0.110;2558
C;3;4;20;4;208;287806;0.048;2558
C;4;4;20;4;208;216948;0.052;2558
C;1;4;20;5;392;10322049;0.193;2641
C;2;4;20;5;392;5541156;0.183;2618
C;3;4;20;5;392;638679;0.084;2618
C;4;4;20;5;392;282644;0.074;2618
C;1;4;20;6;240;1884314;0.032;1335
C;2;4;20;6;238;719645;0.031;1335
C;3;4;20;6;238;117129;0.020;1335
C;4;4;20;6;238;113679;0.021;1335
C;1;4;20;7;634;11865523;0.199;3191
C;2;4;20;7;634;2274196;0.116;3191
C;3;4;20;7;634;331556;0.069;3191
C;4;4;20;7;634;285688;0.077;3191
C;1;4;20;8;303;2533398;0.040;1330
C;2;4;20;8;303;584959;0.031;1330
C;3;4;20;8;303;148819;0.021;1330
C;4;4;20;8;303;122763;0.023;1330
C;1;4;20;9;74;796863;0.013;649
C;2;4;20;9;74;215355;0.012;649
C;3;4;20;9;74;66839;0.010;649
C;4;4;20;9;74;64222;0.010;649
C;1;4;20;10;605;11519233;0.195;3149
C;2;4;20;10;605;3690328;0.142;3149
C;3;4;20;10;605;302367;0.066;3149
C;4;4;20;10;605;295618;0.077;3149
C;1;4;30;1;4982;2608230054;270.209;43302
A;3;3;80;6;5017;221015748;8948.686;411807
A;1;2;60;5;66;12426635;0.196;2096
A;1;2;60;4;63;17383252;0.277;2742
A;2;2;80;6;140;9801288;32.389;19810
A;1;2;80;6;144;1069971880;44.050;19918
D;1;2;30;8;291;632139131;29.198;19822
D;2;2;40;2;428;12794774;102.366;41862
A;1;2;120;9;302;14043828988;1413.804;58254
D;1;2;40;4;474;4197135592;437.413;49348
D;2;2;40;6;493;19341511;544.278;65378
D;1;2;40;8;628;8337470188;799.414;67728
A;1;3;50;9;470;531591120;17.782;21273
A;3;3;50;9;470;5225667;5.200;21236
A;2;3;50;10;359;115944643;5.515;11747
A;2;3;70;3;2059;5583493205;740.331;98939
D;1;2;50;8;679;51046623989;5481.400;151298
A;3;3;70;8;1615;37292859;217.739;79354
A;2;3;70;10;1231;2911052482;379.274;54208
A;3;3;70;10;1231;28638265;83.615;54208
A;1;3;70;9;1653;17853636491;1699.005;97372
C;3;3;30;5;1896;3159883;2.757;19218
C;2;3;30;8;1034;40202828;2.338;12618
C;3;3;30;9;688;1562104;0.619;10920
C;1;3;30;10;1041;311794562;11.487;14394
C;1;3;30;6;1335;472994181;21.057;18324
C;1;3;40;4;2910;3111154261;324.596;45856
C;3;3;40;10;4712;16763928;38.786;65192
A;1;4;20;1;172;2648397;0.050;1366
