mokp
cls;ndim;m;n;i;nd;comp;time;maxnd
char;int;int;int;int;int;int;float;int
A;1;2;80;3;109;348298054;8.855;9453
A;2;2;100;4;137;11434771;17.037;18471
A;2;2;100;10;127;10501256;16.372;16364
A;1;2;100;1;195;3720479715;167.788;37841
B;2;2;300;2;16;31354315;61.646;17790
C;1;2;60;6;200;442757870;13.035;11504
C;2;2;60;9;221;5542258;12.215;15650
A;1;2;120;3;167;5183587250;252.581;38095
A;1;2;100;8;215;4476862758;313.039;36275
C;2;2;80;4;281;16385477;75.939;27912
A;1;2;120;5;292;7176151748;505.162;40802
C;1;2;80;2;432;8140278002;580.030;48228
C;1;2;80;9;346;6615672062;557.792;39856
D;2;2;30;2;219;2665231;3.789;14075
D;1;2;30;3;372;687078835;30.463;19570
D;1;2;30;6;314;820952167;41.712;21786
C;2;2;80;7;448;44577391;697.600;66517
C;1;2;100;4;393;17027841207;1524.997;60858
A;2;2;120;8;286;63797973;1051.700;82831
D;2;2;50;1;527;31525702;848.133;88403
A;1;2;120;8;291;23276017586;2023.785;84481
D;1;2;50;4;546;24147875071;2315.529;109733
A;2;3;60;2;747;1258544753;119.962;45186
A;2;3;60;4;968;1201002577;94.969;38277
A;3;3;60;5;1406;17894146;39.518;42094
D;2;2;50;9;542;42048465;1741.933;106301
D;2;2;50;8;621;57959241;3609.428;146631
A;2;3;60;6;2731;10713241243;1220.826;94816
A;3;3;70;3;2059;49922700;344.556;98939
A;1;3;70;2;1080;15934098648;1299.431;81619
A;2;3;70;4;1560;6444320225;647.042;90982
A;3;3;70;1;2081;54273538;982.865;128753
C;1;3;20;3;177;1087226;0.017;905
C;2;3;20;3;177;242089;0.015;905
C;1;3;20;5;366;6137241;0.101;2021
C;2;3;20;8;160;738823;0.044;1878
C;3;3;20;10;454;217401;0.040;2033
C;2;3;30;2;679;70289311;2.528;8381
C;3;3;30;4;729;1338841;0.642;9393
C;3;3;30;6;1324;2989422;2.223;18261
C;1;3;30;8;1040;221956989;6.371;12659
C;1;3;40;2;1766;2144094562;158.556;32915
C;3;3;40;7;3331;13596771;16.849;55099
A;2;3;80;4;2356;24704834116;3188.100;141730
C;2;3;40;8;3414;741387995;60.960;46988
C;3;3;40;8;3414;11644477;20.882;46988
C;2;3;40;9;1958;646221156;64.603;42779
C;1;3;40;9;1993;2780805188;231.297;43592
A;4;4;40;1;1283;9641918;16.714;38547
A;1;4;40;3;949;823003062;30.620;22241
A;4;4;40;5;2027;8535862;12.701;35399
A;2;4;40;6;649;35393480;1.755;10825
A;3;4;40;6;649;8469543;1.073;10825
A;1;4;40;7;1048;251907418;7.659;13300
C;2;3;40;10;4712;2694809312;232.217;65192
A;4;4;40;7;1043;2560888;1.400;13263
A;3;4;40;7;1043;11704162;1.807;13263
A;3;4;40;8;972;24593584;4.043;15254
A;4;4;40;8;972;3641827;2.990;15254
A;2;4;40;8;972;241854497;11.166;15254
A;1;4;40;9;648;316680302;10.038;13563
A;2;4;40;9;648;173110925;7.076;13559
A;3;4;40;10;1667;140417331;23.620;38252
A;1;4;40;10;1672;2348047372;178.724;38391
A;1;4;50;2;1747;3319493864;254.604;42449
A;4;4;50;3;2562;22976461;114.416;75314
A;3;4;50;4;1437;272875625;34.033;38127
A;4;4;50;4;1437;11230731;16.397;38127
A;2;4;50;4;1437;1686323594;71.997;38127
A;1;4;50;6;1107;890846763;37.016;24422
A;2;4;50;7;3905;3955485521;370.809;91809
A;3;4;50;5;3953;3431939186;551.503;108514
C;2;4;30;2;1616;228140505;9.817;16839
C;3;4;30;2;1616;7046795;2.197;16839
C;4;4;30;2;1616;2676819;2.247;16839
C;3;4;30;3;1778;4976153;1.923;20101
C;4;4;30;3;1778;2569246;2.185;20101
C;1;4;30;4;1563;357876501;11.947;14866
C;3;4;30;4;1552;5720159;1.664;14807
C;4;4;30;4;1552;2816800;1.672;14807
C;2;4;30;5;2259;294859824;14.147;20270
C;3;4;30;5;2259;16939174;3.125;20270
C;4;4;30;5;2259;3324505;2.243;20270
C;1;4;30;6;632;82842258;1.962;7738
C;2;4;30;6;631;30640101;1.311;7711
C;3;4;30;6;631;1193456;0.437;7711
C;4;4;30;6;631;1113405;0.584;7711
C;1;4;30;7;3184;1242565638;61.977;29274
A;4;4;50;10;7150;60475984;509.496;190325
A;1;3;80;4;2364;65158677834;5990.821;142237
A;3;4;50;1;3305;7235018053;871.380;122036
A;1;3;80;10;2244;42788339774;2504.409;127782
A;2;2;40;8;31;224718;0.058;1028
A;1;2;40;6;73;3684200;0.074;1366
A;1;2;40;7;58;5399004;0.095;1865
A;2;2;40;7;58;428172;0.111;1860
A;2;2;60;9;79;2261283;1.515;5705
A;1;2;60;6;109;103534833;2.034;6866
A;2;2;80;5;105;3566231;2.237;6820
A;1;2;80;5;106;128064242;2.679;6865
A;1;2;100;4;142;740366322;24.714;18706
A;2;2;100;5;178;13145314;29.577;21506
A;1;2;100;3;142;1479868534;50.743;20258
A;2;2;100;6;194;21700145;109.848;31141
B;1;2;150;10;12;3916051;0.173;2138
B;1;2;200;1;8;31139520;1.175;9126
B;2;2;200;2;6;7063755;7.398;6176
B;1;2;200;6;6;6285694;0.324;3041
B;1;2;200;7;13;13541855;0.684;5045
B;2;2;200;7;10;5329798;4.251;4924
B;1;2;200;10;14;27327963;0.967;6151
B;1;2;250;1;16;125971441;4.355;15555
B;1;2;250;2;15;62388876;2.439;9795
B;1;2;250;4;15;21909696;1.220;5241
B;2;2;250;4;15;8967391;7.406;5118
B;1;2;250;7;20;82088019;2.994;11381
B;1;2;250;8;11;55871176;2.410;10312
B;2;2;250;8;11;16470029;24.915;10040
A;1;2;120;10;159;2391399324;129.165;26778
A;2;2;120;5;276;35178018;215.863;40183
C;1;2;60;9;226;670819408;20.461;15844
B;2;2;300;5;32;49341338;110.099;23902
B;2;2;300;7;35;60359969;159.714;29218
C;2;2;80;8;331;19482802;117.991;32598
C;2;2;80;3;385;30602489;350.053;53041
C;1;2;80;5;325;5979691975;446.357;37420
D;1;2;30;7;293;275709396;8.715;13616
D;1;2;30;9;278;489772231;17.980;18507
D;1;2;40;2;452;3868696810;258.365;43590
D;1;2;40;5;310;2970356664;212.204;40501
C;2;2;100;3;463;74094657;2072.180;104781
C;1;2;100;6;513;21195118090;2096.098;70916
A;1;3;50;1;544;718605621;25.175;20223
A;2;3;50;1;542;500090313;22.649;20038
A;3;3;50;1;542;6068565;7.096;20038
A;1;3;50;2;451;787705388;31.192;19103
C;1;2;100;9;546;49837309801;4657.663;104558
A;3;3;60;2;747;16294566;33.574;45186
C;1;2;100;8;443;23325374046;1917.661;77382
A;2;3;60;8;1081;869712842;65.814;40011
A;3;3;60;8;1081;16408667;45.082;40011
A;2;3;60;9;950;2490816101;199.586;46276
D;1;2;50;1;555;19581372744;1741.465;91350
C;1;2;100;7;588;73868244070;7293.957;120831
A;3;3;70;5;1655;46914077;307.779;117309
A;3;3;70;7;2291;39871648;355.020;103042
A;1;3;70;8;1622;14425743836;1103.504;80002
A;1;3;70;7;2313;22725915563;1953.229;103777
A;3;3;70;9;1644;42167703;350.642;96884
A;3;3;80;4;2356;82098261;923.429;141730
A;3;3;80;4;2356;82098261;922.867;141730
C;3;3;20;2;336;140337;0.026;1572
C;1;3;20;6;211;3263656;0.047;1598
C;2;3;20;7;311;2507306;0.100;2769
C;1;3;20;10;459;5331012;0.091;2038
C;3;3;30;2;679;1502333;0.891;8381
C;3;3;30;3;646;1919561;1.046;15999
C;2;3;30;4;729;58416053;2.149;9393
C;2;3;30;7;1744;117185682;6.484;19228
C;2;3;40;1;1874;1062833076;75.564;36785
C;3;3;40;5;3373;19510474;82.339;76651
C;2;3;40;7;3331;1213789417;104.525;55099
C;3;3;40;9;1958;10225751;13.464;42779
A;4;4;50;1;3305;40730385;319.124;122036
C;1;3;40;10;4781;7232928960;665.400;65709
A;2;4;50;6;1103;299448092;16.892;24326
A;3;4;50;6;1103;47776024;7.379;24326
A;4;4;50;6;1103;6669663;5.734;24326
A;1;3;80;8;1762;44410450433;4008.438;130136
A;1;4;50;7;3926;12651267899;1024.701;92124
A;2;3;80;5;2659;40077812473;6015.504;207275
A;3;3;80;9;2065;94540178;936.009;197619
A;1;2;40;10;33;899502;0.032;645
A;1;2;40;8;31;2400579;0.061;1034
A;1;2;40;9;52;3703070;0.085;1451
A;2;2;40;9;52;291655;0.090;1447
A;2;2;60;10;68;1182225;0.364;3115
A;2;2;80;4;86;4223206;2.727;8071
A;1;2;80;4;86;149874047;3.218;8157
A;2;2;80;3;109;5434379;5.708;9351
A;1;2;80;9;175;700026931;23.345;14949
A;1;2;100;10;132;673600648;23.702;16719
A;2;2;100;7;256;27996835;136.495;35847
B;1;2;250;5;20;112987236;3.697;15381
B;1;2;250;6;22;39440562;1.644;9022
B;2;2;250;7;20;17478807;22.239;11048
B;1;2;300;2;18;165253256;5.969;18421
B;1;2;300;5;31;349249789;11.335;24717
B;2;2;300;8;15;39602213;102.558;20574
A;1;2;120;4;237;4935519921;267.293;40409
A;1;2;100;7;260;5542292786;428.407;36812
C;2;2;80;5;312;23285877;149.519;35820
C;1;2;80;6;360;4616460680;319.681;35917
D;2;2;30;7;284;2638509;3.480;12901
D;2;2;30;8;263;3870571;13.481;19332
D;2;2;30;9;271;3317384;8.979;18009
D;1;2;40;1;457;2509139306;162.875;34020
D;2;2;40;4;451;13763006;125.195;47865
D;2;2;40;5;304;11365798;85.076;39151
C;2;2;100;6;498;50371740;1038.063;69687
D;2;2;40;9;474;14262795;176.227;47385
D;1;2;40;6;508;9316773179;768.089;66893
A;2;3;50;5;558;293007037;17.593;17439
A;3;3;50;5;558;6441918;5.671;17439
A;1;3;50;6;845;2557230768;154.218;36706
A;2;3;50;8;524;116409692;7.135;13576
A;1;3;60;3;1190;5586661864;338.727;53315
A;3;3;60;6;2731;39613843;337.250;94816
A;3;3;60;9;950;16681968;41.448;46276
A;1;3;60;10;552;1548431035;72.586;27148
A;3;3;60;10;549;11026583;11.570;27033
A;3;3;80;5;2659;113209082;1665.854;207275
A;3;3;80;7;3336;86507744;1743.179;182486
A;3;3;80;8;1751;71599151;880.914;129525
C;2;3;30;5;1896;235426288;10.838;19218
C;2;3;40;2;1759;1340276850;76.468;32709
A;3;4;40;1;1283;446593533;45.516;38547
A;1;4;40;4;657;218404026;6.415;10061
A;1;4;40;5;2050;1860556510;59.743;35445
C;1;3;40;6;3270;10861341339;912.401;69347
A;3;4;50;7;3905;746940896;110.585;91809
A;3;4;50;8;1496;286183094;60.957;48995
A;1;4;50;9;1473;2820140399;156.558;35784
A;3;4;50;10;7150;5786934118;1493.121;190325
A;1;4;50;1;3331;29412817090;2646.353;123236
A;1;3;80;5;2671;105604506342;10073.759;208702
