nitems;find;prove;profit;split;first;last;ns;sol
int;int;int;int;int;int;int;int;string
5;0;0;1805;5;4;3;3;11100
5;0;0;1377;4;3;2;2;11000
5;0;0;1998;5;4;3;3;11100
5;1;1;2310;5;4;5;4;11101
5;0;0;1461;4;3;2;2;11000
5;0;0;1769;5;4;3;3;11100
5;0;0;1387;5;4;3;3;11100
5;10;10;972;4;1;3;2;01100
5;0;0;2260;5;4;3;3;11100
5;1;1;1902;4;3;4;3;11010
5;0;0;2071;5;4;3;3;11100
5;0;0;1805;5;4;3;3;11100
5;0;0;1454;5;4;3;3;11100
5;0;0;1869;5;4;3;3;11100
5;1;1;1452;4;3;4;3;11010
5;19;19;1031;4;1;4;2;00110
5;0;0;1950;5;4;3;3;11100
5;0;0;1678;5;4;3;3;11100
5;0;0;1654;5;4;3;3;11100
5;5;5;1615;4;2;3;2;10100
5;5;5;1191;4;2;3;2;10100
5;0;0;1194;5;4;3;3;11100
5;0;0;2057;5;4;3;3;11100
5;1;1;1414;4;3;4;3;11010
5;0;0;2025;5;4;3;3;11100
5;0;0;1978;5;4;3;3;11100
5;0;0;1845;5;4;3;3;11100
5;0;0;1608;5;4;3;3;11100
5;1;1;1592;4;3;4;3;11010
5;0;0;1767;5;4;3;3;11100
5;0;0;2075;5;4;3;3;11100
5;0;0;1588;5;4;3;3;11100
5;0;0;2357;5;4;3;3;11100
5;2;2;1386;4;3;5;3;11001
5;0;0;1546;5;4;3;3;11100
5;9;9;1693;4;1;3;2;01100
5;0;0;974;5;4;3;3;11100
5;0;0;1476;4;3;2;2;11000
5;0;0;1974;5;4;3;3;11100
5;2;2;1816;4;3;5;3;11001
5;0;0;1749;5;4;3;3;11100
5;0;0;1418;5;4;3;3;11100
5;0;0;2205;5;4;3;3;11100
5;3;3;2160;5;3;4;3;11010
5;5;5;1490;4;2;3;2;10100
5;10;10;1741;4;1;3;2;01100
5;0;0;1127;4;3;2;2;11000
5;0;0;1207;5;4;3;3;11100
5;0;0;2650;5;4;3;3;11100
5;0;0;1958;5;4;3;3;11100
5;3;3;2448;5;3;4;3;11010
5;5;5;1467;4;2;3;2;10100
5;0;0;1560;5;4;3;3;11100
5;0;0;1674;5;4;3;3;11100
5;1;1;1509;3;2;3;2;10100
5;2;2;1700;4;3;5;3;11001
5;0;0;836;5;4;3;3;11100
5;0;0;1867;5;4;3;3;11100
5;0;0;1469;5;4;3;3;11100
5;3;3;2035;5;3;4;3;11010
5;0;0;1810;5;4;3;3;11100
5;0;0;2018;5;4;3;3;11100
5;4;4;1929;5;3;5;3;11001
5;9;9;1299;5;2;4;2;10010
5;0;0;2270;5;4;3;3;11100
5;1;1;2099;4;3;4;3;11010
5;0;0;2080;5;4;3;3;11100
5;0;0;2273;5;4;3;3;11100
5;0;0;1699;5;4;3;3;11100
5;6;6;1896;4;2;3;2;10100
5;4;4;1575;4;2;3;2;10100
