mokp
ndim;t;m;n;i;nd;ncomp;time;maxnd
int;int;int;int;int;int;int;float;int
0;3;3;30;8;1034;1912949191;13.489;12618
0;1;3;50;9;470;7817177141;76.561;21236
0;1;2;90;7;219;47869036769;695.301;27958
3;1;2;50;1;63;955117;0.366;2961
3;1;3;70;1;2081;54273538;1444.602;128753
0;3;3;40;5;3373;102929104078;3166.784;76651
0;1;2;70;3;90;1653122457;10.638;5534
3;1;2;90;6;179;16052584;65.327;27432
0;1;3;70;4;1560;250443569403;9513.690;90982
3;3;3;50;5;6641;71932095;1342.831;181253
0;1;3;70;8;1615;206836507989;6789.430;79354
3;1;3;90;8;2272;142140247;3386.099;232191
0;1;3;70;1;2081;446549406410;15718.854;128753
3;1;3;110;4;7807;590607840;54066.928;835666
0;3;3;50;0;2966;396487718277;14523.240;136508
3;3;3;60;7;12246;209869692;6824.914;489881
3;3;3;60;6;13341;256072390;12846.579;555742
3;1;4;50;2;1742;494239141;69.237;42395
0;1;4;50;4;1437;29831922961;462.952;38127
3;1;4;50;5;3953;3431939186;735.765;108514
0;1;4;50;5;3953;291795884269;9680.405;108514
0;1;2;10;7;2;2198;0.000;17
3;1;2;10;7;2;416;0.000;17
0;1;2;10;9;2;455;0.000;6
3;1;2;10;8;4;336;0.000;13
0;1;2;10;8;4;1587;0.000;13
3;3;2;20;1;27;23638;0.003;241
3;1;2;30;7;21;61371;0.009;384
0;3;2;20;4;20;540084;0.002;211
0;3;2;20;5;39;1084665;0.004;308
0;3;2;20;9;25;579255;0.002;226
0;3;2;30;5;115;33881154;0.141;1488
3;1;2;50;7;69;1083209;0.452;3778
3;3;2;30;6;64;265977;0.069;1510
0;3;2;30;6;64;46138103;0.203;1510
3;3;2;30;7;87;366386;0.102;2299
3;1;2;70;5;67;2067256;0.948;4846
3;3;2;40;4;89;606161;0.181;2167
3;3;2;40;0;62;373289;0.099;1739
0;3;2;40;9;86;190193668;1.031;2761
3;1;2;70;9;112;4439573;6.201;10548
0;3;2;50;5;164;2321984508;18.831;8638
0;1;2;70;9;112;4063226489;38.205;10548
0;1;2;90;0;96;5580652709;45.178;9398
0;3;2;60;0;254;9337174357;161.636;17165
3;3;3;30;0;1004;1160285;0.526;7684
0;3;3;30;1;767;946603792;6.788;7746
3;3;3;30;4;729;1338841;0.807;9393
0;3;3;30;5;1896;4709861906;68.634;19218
0;1;2;90;1;163;37423723490;520.059;28267
3;1;3;70;4;1560;39774365;257.574;90982
3;1;2;110;8;255;43400979;722.785;61180
3;3;3;40;7;3331;13596771;27.436;55099
3;3;3;40;8;3414;11644477;29.398;46988
3;3;3;40;9;1958;10225751;19.007;42779
3;1;2;50;2;35;341226;0.090;1145
0;1;3;70;9;1644;281095841556;11359.740;96884
0;3;3;50;2;4364;272640811543;10975.040;112732
3;1;3;110;3;6503;670668173;67494.338;815901
3;3;3;60;0;13144;171686568;3955.729;393777
3;3;3;60;2;9220;118021062;4017.916;304388
0;3;3;50;6;7974;1105592667522;49147.752;201314
3;1;3;90;7;4130;223434333;15671.859;391949
3;1;4;50;1;3305;7235018053;1496.210;122036
3;3;3;60;9;12254;203648524;9404.518;558460
0;1;4;50;3;2562;121603351862;4009.320;75314
0;1;4;50;1;3305;336151852303;14207.108;122036
0;3;2;10;1;7;7039;0.000;31
3;1;2;10;9;2;108;0.000;6
0;3;2;10;0;12;15192;0.000;36
0;3;2;10;3;12;19697;0.000;51
0;3;2;10;2;7;2531;0.000;19
3;1;2;30;4;20;59542;0.009;405
3;1;2;30;8;28;63772;0.010;424
0;3;2;20;0;22;334537;0.001;188
0;3;2;20;8;45;1185963;0.005;315
3;3;2;30;8;80;124734;0.020;774
0;3;2;30;2;79;30013357;0.126;1359
0;3;2;30;9;46;11452188;0.045;809
0;1;2;50;7;69;374298951;1.994;3778
0;3;2;40;1;70;236436972;1.248;3072
0;3;2;40;8;85;100072440;0.463;1979
0;3;2;40;6;79;202087251;1.076;2907
0;1;2;70;5;67;923680614;5.436;4846
0;3;2;50;3;171;1906198618;14.196;8460
3;1;2;90;8;214;12866874;45.824;24967
0;1;2;90;4;89;6711301638;67.285;11480
3;3;2;60;3;227;6879307;22.307;17011
3;3;2;60;6;196;5086595;8.786;11370
3;3;2;60;8;184;3898242;4.544;9543
3;3;2;60;9;221;5549867;14.035;15650
3;1;3;30;0;75;150082;0.026;812
3;1;3;30;1;134;397540;0.102;2100
0;1;3;30;2;119;51964549;0.240;1586
0;1;3;30;3;273;173244254;0.969;3604
3;1;3;30;5;309;528103;0.151;2997
0;1;3;30;6;176;116143367;0.614;2585
3;1;3;30;7;165;229534;0.053;2042
3;1;3;30;8;181;545981;0.155;2945
0;1;3;30;9;158;52522092;0.248;1716
3;1;3;30;9;158;295631;0.069;1716
3;3;3;20;0;175;164898;0.031;1666
0;3;3;20;1;283;13553973;0.062;1197
0;3;3;20;2;336;21057328;0.100;1572
0;3;3;20;3;177;7595737;0.032;905
0;3;3;20;4;133;5781237;0.025;834
0;3;3;20;5;366;39023378;0.201;2018
3;3;3;20;6;211;155254;0.030;1598
0;3;2;60;1;197;6370665295;74.809;13690
3;3;3;20;7;311;240754;0.052;2769
3;3;3;20;8;160;178550;0.036;1878
0;3;3;20;8;160;31752388;0.150;1878
0;3;3;20;9;102;8212888;0.035;938
3;1;3;50;0;386;2794206;1.682;9928
0;1;3;50;0;386;2248257480;17.152;9928
0;1;3;50;2;447;8789731282;206.559;19053
0;1;3;50;3;742;13825740000;399.955;23729
3;1;3;70;8;1615;37292859;288.332;79354
0;1;2;50;3;46;124784224;0.613;2102
0;3;2;50;0;165;1828794826;12.682;7506
3;1;3;90;4;4628;195239659;8067.557;314002
0;3;3;50;1;4092;273854707603;18577.579;117521
3;1;3;90;5;4274;188167117;7188.418;292988
