chub5
n;m;t;i;s;opt;best;iter;time
int;int;float;int;int;float;float;int;float
100;10;0.25;10;4;22702;22702;197;0.783212
100;10;0.25;10;5;22569;22702;72;0.720245
100;10;0.25;10;6;22452;22702;96;0.518731
100;10;0.25;10;7;22483;22702;69;0.554927
100;10;0.25;10;8;22702;22702;191;0.645456
100;10;0.25;10;9;22702;22702;103;0.508941
100;30;0.25;1;0;21005;21946;188;1.660312
100;30;0.25;1;1;20921;21946;163;1.663377
100;30;0.25;1;2;20987;21946;283;1.510377
100;30;0.25;1;3;21116;21946;293;1.444363
100;30;0.25;1;4;21141;21946;90;1.645671
100;30;0.25;1;5;20932;21946;265;1.712092
100;30;0.25;1;6;20889;21946;144;1.700359
100;30;0.25;1;7;21014;21946;267;1.492463
100;30;0.25;1;8;21259;21946;261;1.274319
100;30;0.25;1;9;21160;21946;226;1.632275
100;30;0.25;2;0;20831;21716;279;1.534551
100;30;0.25;2;1;20944;21716;239;1.735376
100;30;0.25;2;2;20843;21716;74;1.719286
100;30;0.25;2;3;20996;21716;248;1.611661
100;30;0.25;2;4;20814;21716;81;1.613444
100;30;0.25;2;5;20843;21716;98;1.616556
100;30;0.25;2;6;20721;21716;195;1.630309
100;30;0.25;2;7;20742;21716;226;1.304655
100;30;0.25;2;8;20739;21716;200;1.292688
100;30;0.25;2;9;20980;21716;102;1.150902
100;30;0.25;3;0;20032;20754;145;1.455160
100;30;0.25;3;1;20077;20754;299;1.613978
100;30;0.25;3;2;20006;20754;20;1.630708
100;30;0.25;3;3;19908;20754;143;1.477228
100;30;0.25;3;4;20156;20754;160;1.499813
100;30;0.25;3;5;19973;20754;291;1.470122
100;30;0.25;3;6;19867;20754;68;1.351054
100;30;0.25;3;7;20077;20754;103;1.492333
100;30;0.25;3;8;20327;20754;146;1.408371
100;30;0.25;3;9;20073;20754;164;1.304704
100;30;0.25;4;0;20635;21464;234;1.671420
100;30;0.25;4;1;20853;21464;284;1.678446
100;30;0.25;4;2;21002;21464;176;1.362526
100;30;0.25;4;3;20722;21464;277;1.299303
100;30;0.25;4;4;20820;21464;190;1.261521
100;30;0.25;4;5;20607;21464;269;1.544819
100;30;0.25;4;6;20997;21464;285;1.304096
100;30;0.25;4;7;20606;21464;131;1.092257
100;30;0.25;4;8;20786;21464;126;1.268800
100;30;0.25;4;9;20639;21464;242;1.105159
100;30;0.25;5;0;21098;21844;118;1.156686
100;30;0.25;5;1;20986;21844;295;1.155678
100;30;0.25;5;2;21249;21844;53;0.962726
100;30;0.25;5;3;21034;21844;291;1.035384
100;30;0.25;5;4;21479;21844;212;0.996959
100;30;0.25;5;5;21390;21844;233;1.201508
100;30;0.25;5;6;21213;21844;159;1.342863
100;30;0.25;5;7;21223;21844;281;1.306275
100;30;0.25;5;8;21199;21844;267;1.474159
100;30;0.25;5;9;21207;21844;296;1.534172
100;30;0.25;6;0;21445;22176;277;1.885120
100;30;0.25;6;1;21587;22176;117;1.791490
100;30;0.25;6;2;21325;22176;236;1.646845
100;30;0.25;6;3;21316;22176;145;1.726551
100;30;0.25;6;4;21489;22176;188;1.809372
100;30;0.25;6;5;21277;22176;252;1.898160
100;30;0.25;6;6;21598;22176;161;1.858236
100;30;0.25;6;7;21529;22176;112;1.714024
100;30;0.25;6;8;21372;22176;81;1.360091
100;30;0.25;6;9;21205;22176;141;1.272573
100;30;0.25;7;0;21009;21799;159;1.148123
100;30;0.25;7;1;21052;21799;95;1.202300
100;30;0.25;7;2;20936;21799;27;1.426406
100;30;0.25;7;3;21109;21799;142;1.611380
100;30;0.25;7;4;21072;21799;183;1.577298
100;30;0.25;7;5;21041;21799;243;1.692431
100;30;0.25;7;6;21073;21799;32;1.727340
100;30;0.25;7;7;21348;21799;196;1.626177
100;30;0.25;7;8;21042;21799;66;1.613198
100;30;0.25;7;9;20936;21799;293;1.113092
100;30;0.25;8;0;20550;21397;33;1.646286
100;30;0.25;8;1;20662;21397;287;1.614139
100;30;0.25;8;2;20555;21397;256;1.557594
100;30;0.25;8;3;20704;21397;12;1.202479
100;30;0.25;8;4;20412;21397;257;1.168034
100;30;0.25;8;5;20534;21397;158;1.140201
100;30;0.25;8;6;20485;21397;38;1.090845
100;30;0.25;8;7;20479;21397;84;1.398126
100;30;0.25;8;8;20761;21397;254;1.525448
100;30;0.25;8;9;20511;21397;255;1.472381
100;30;0.25;9;0;21655;22525;10;1.343917
100;30;0.25;9;1;21908;22525;150;1.009053
100;30;0.25;9;2;21929;22525;272;1.665955
100;30;0.25;9;3;21968;22525;201;1.276035
100;30;0.25;9;4;21981;22525;284;1.156821
100;30;0.25;9;5;21856;22525;217;1.300518
100;30;0.25;9;6;21796;22525;141;1.208715
100;30;0.25;9;7;21960;22525;237;1.502520
100;30;0.25;9;8;21956;22525;298;1.063400
100;30;0.25;9;9;21841;22525;265;1.164534
100;30;0.25;10;0;20504;20983;249;1.407099
100;30;0.25;10;1;20429;20983;183;0.798133
100;30;0.25;10;2;20787;20983;176;0.974346
100;30;0.25;10;3;20782;20983;165;1.227324
100;30;0.25;10;4;20325;20983;207;1.161768
100;30;0.25;10;5;20260;20983;289;0.993070
100;30;0.25;10;6;20433;20983;190;0.799584
100;30;0.25;10;7;20224;20983;285;0.940136
100;30;0.25;10;8;20650;20983;256;0.873557
100;30;0.25;10;9;20196;20983;225;0.905125
250;5;0.25;1;0;58830;59312;30;0.950641
250;5;0.25;1;1;58788;59312;244;0.922655
250;5;0.25;1;2;58859;59312;220;0.924073
250;5;0.25;1;3;58894;59312;214;0.923185
250;5;0.25;1;4;59021;59312;230;0.923599
250;5;0.25;1;5;58905;59312;177;0.920740
250;5;0.25;1;6;58861;59312;233;1.234300
250;5;0.25;1;7;58900;59312;277;1.356137
250;5;0.25;1;8;58816;59312;259;1.413284
250;5;0.25;1;9;58815;59312;70;1.428938
250;5;0.25;2;0;60953;61472;169;1.143076
250;5;0.25;2;1;61055;61472;232;1.120035
250;5;0.25;2;2;60933;61472;246;1.129457
250;5;0.25;2;3;61070;61472;27;1.095896
250;5;0.25;2;4;60899;61472;223;1.117510
250;5;0.25;2;5;61212;61472;219;1.111096
250;5;0.25;2;6;61093;61472;117;1.034132
250;5;0.25;2;7;60997;61472;107;0.931384
250;5;0.25;2;8;60862;61472;27;1.092384
250;5;0.25;2;9;60869;61472;261;0.994283
250;5;0.25;3;0;61586;62130;12;1.294085
250;5;0.25;3;1;61611;62130;43;1.429764
250;5;0.25;3;2;61567;62130;293;1.433344
