n;m;nsets
int;int;int
5;2;13
6;2;28
7;2;59
8;2;19
9;2;75
10;2;55
11;2;260
12;2;153
13;2;295
14;2;92
15;2;201
16;2;479
17;2;341
18;2;244
19;2;713
20;2;632
22;2;995
24;2;1052
26;2;639
28;2;1103
30;2;3019
35;2;1846
40;2;5053
5;2;10
6;2;21
7;2;26
8;2;38
9;2;87
10;2;87
11;2;87
12;2;87
13;2;157
14;2;252
15;2;174
16;2;332
17;2;660
18;2;239
19;2;553
20;2;512
22;2;830
24;2;1095
26;2;854
28;2;2226
30;2;1624
35;2;2393
40;2;3721
5;2;29
6;2;24
7;2;24
8;2;61
9;2;64
10;2;90
11;2;91
12;2;96
13;2;171
14;2;97
15;2;322
16;2;422
17;2;243
18;2;580
19;2;587
20;2;1034
22;2;407
24;2;1312
26;2;1117
28;2;2258
30;2;1424
35;2;7190
40;2;5305
5;2;17
6;2;15
7;2;52
8;2;55
9;2;47
10;2;137
11;2;121
12;2;259
13;2;192
14;2;163
15;2;184
16;2;283
17;2;675
18;2;476
19;2;450
20;2;1142
22;2;808
24;2;1517
26;2;1282
28;2;1446
30;2;3397
35;2;3655
40;2;8789
5;2;15
6;2;17
7;2;34
8;2;61
9;2;32
10;2;80
11;2;127
12;2;186
13;2;189
14;2;137
15;2;304
16;2;180
17;2;418
18;2;229
19;2;373
20;2;471
22;2;793
24;2;933
26;2;1115
28;2;1684
30;2;2847
35;2;3219
40;2;5790
5;2;22
6;2;25
7;2;29
8;2;38
9;2;47
10;2;135
11;2;100
12;2;67
13;2;109
14;2;216
15;2;97
16;2;367
17;2;827
18;2;663
19;2;484
20;2;620
22;2;776
24;2;850
26;2;1921
28;2;1903
30;2;2778
35;2;5702
40;2;8619
5;2;20
6;2;23
7;2;36
8;2;50
9;2;61
10;2;99
11;2;179
12;2;136
13;2;220
14;2;213
15;2;273
16;2;274
17;2;467
18;2;337
19;2;850
20;2;569
22;2;1481
24;2;1407
26;2;785
28;2;1854
30;2;2443
35;2;10335
40;2;5749
5;2;23
6;2;19
7;2;40
8;2;32
9;2;28
10;2;95
11;2;66
12;2;175
13;2;218
14;2;121
15;2;238
16;2;261
17;2;314
18;2;348
19;2;907
20;2;184
22;2;987
24;2;958
26;2;1007
28;2;2931
30;2;2850
35;2;3306
40;2;4240
5;2;9
6;2;35
7;2;24
8;2;118
9;2;95
10;2;57
11;2;176
12;2;110
13;2;155
14;2;86
15;2;173
16;2;257
17;2;181
18;2;751
19;2;318
20;2;648
22;2;625
24;2;886
26;2;1011
28;2;4257
30;2;1781
35;2;3239
40;2;5259
5;2;20
6;2;35
7;2;27
8;2;36
9;2;41
10;2;34
11;2;128
12;2;185
13;2;121
14;2;274
15;2;216
16;2;465
17;2;351
18;2;790
19;2;382
20;2;561
22;2;952
24;2;2249
26;2;1133
28;2;1780
30;2;3174
35;2;2245
40;2;5585
5;2;16
6;2;23
7;2;48
8;2;35
9;2;46
10;2;102
11;2;156
12;2;184
13;2;215
14;2;253
15;2;386
16;2;644
17;2;380
18;2;293
19;2;551
20;2;781
22;2;583
24;2;1623
26;2;1061
28;2;1421
30;2;2984
35;2;3413
40;2;7222
5;2;19
6;2;18
7;2;62
8;2;14
9;2;44
10;2;79
11;2;144
12;2;110
13;2;138
14;2;359
15;2;350
16;2;269
17;2;366
18;2;376
19;2;711
20;2;594
22;2;638
24;2;609
26;2;692
28;2;1734
30;2;2196
35;2;3337
40;2;6009
5;2;17
6;2;17
7;2;57
8;2;73
9;2;42
10;2;220
11;2;110
12;2;56
13;2;197
14;2;151
15;2;334
16;2;418
17;2;189
18;2;621
19;2;1657
20;2;710
22;2;516
24;2;1365
26;2;1941
28;2;875
30;2;3736
35;2;4000
40;2;7263
5;2;12
6;2;31
7;2;36
8;2;57
9;2;75
10;2;75
11;2;274
12;2;53
13;2;191
14;2;295
15;2;471
16;2;243
17;2;382
18;2;377
19;2;589
20;2;525
22;2;542
24;2;907
26;2;1970
28;2;1765
30;2;1938
35;2;4513
40;2;5680
5;2;17
6;2;17
7;2;37
8;2;44
9;2;38
10;2;75
11;2;132
12;2;201
13;2;203
14;2;183
15;2;203
16;2;371
17;2;581
18;2;521
