n;m;nsets
int;int;int
35;2;4142
40;2;3257
5;2;15
6;2;18
7;2;31
8;2;67
9;2;74
10;2;139
11;2;76
12;2;142
13;2;99
14;2;194
15;2;294
16;2;227
17;2;349
18;2;395
19;2;489
20;2;391
22;2;745
24;2;1053
26;2;1217
28;2;2946
30;2;2009
35;2;7181
40;2;3139
5;2;15
6;2;36
7;2;51
8;2;30
9;2;43
10;2;82
11;2;142
12;2;195
13;2;93
14;2;226
15;2;143
16;2;381
17;2;269
18;2;476
19;2;367
20;2;587
22;2;578
24;2;1365
26;2;1047
28;2;1910
30;2;2234
35;2;2471
40;2;6910
5;2;16
6;2;31
7;2;46
8;2;49
9;2;39
10;2;36
11;2;99
12;2;155
13;2;106
14;2;160
15;2;316
16;2;381
17;2;579
18;2;168
19;2;508
20;2;742
22;2;939
24;2;765
26;2;1432
28;2;1236
30;2;2421
35;2;2102
40;2;6144
5;2;25
6;2;22
7;2;38
8;2;39
9;2;53
10;2;117
11;2;83
12;2;92
13;2;135
14;2;119
15;2;294
16;2;380
17;2;370
18;2;416
19;2;467
20;2;675
22;2;935
24;2;678
26;2;905
28;2;2506
30;2;2417
35;2;4821
40;2;6550
5;2;19
6;2;30
7;2;33
8;2;44
9;2;76
10;2;67
11;2;80
12;2;232
13;2;178
14;2;92
15;2;307
16;2;343
17;2;333
18;2;1086
19;2;850
20;2;926
22;2;600
24;2;1547
26;2;2266
28;2;2169
30;2;1535
35;2;4201
40;2;5394
5;3;18
6;3;41
7;3;60
8;3;64
9;3;68
10;3;265
11;3;177
12;3;464
13;3;139
14;3;132
15;3;530
16;3;546
17;3;916
18;3;2263
19;3;1621
20;3;2187
22;3;959
24;3;3492
26;3;5804
28;3;3223
30;3;5529
35;3;14206
5;3;19
6;3;55
7;3;45
8;3;73
9;3;96
10;3;118
11;3;98
12;3;301
13;3;433
14;3;314
15;3;735
16;3;329
17;3;1164
18;3;1047
19;3;952
20;3;1642
22;3;2589
24;3;4111
26;3;14715
28;3;4773
30;3;20259
5;3;22
6;3;33
7;3;41
8;3;41
9;3;52
10;3;90
11;3;243
12;3;421
13;3;310
14;3;488
15;3;720
16;3;569
17;3;985
18;3;2286
19;3;1322
20;3;1698
22;3;2043
24;3;4167
26;3;5174
28;3;3572
30;3;11245
5;3;19
6;3;22
7;3;36
8;3;40
9;3;48
10;3;147
11;3;403
12;3;141
13;3;311
14;3;516
15;3;521
16;3;941
17;3;718
18;3;1396
19;3;2721
20;3;1214
22;3;2467
24;3;3623
26;3;3845
28;3;5164
30;3;6619
5;3;21
6;3;40
7;3;28
8;3;70
9;3;138
10;3;133
11;3;265
12;3;490
13;3;248
14;3;894
15;3;1434
16;3;307
17;3;2106
18;3;769
19;3;1627
20;3;978
22;3;1939
24;3;4661
26;3;4761
28;3;16438
30;3;5819
5;3;11
6;3;27
7;3;32
8;3;105
9;3;109
10;3;84
11;3;152
12;3;195
13;3;329
14;3;355
15;3;283
16;3;1237
17;3;596
18;3;2155
19;3;716
20;3;4965
22;3;1637
24;3;4599
26;3;5780
28;3;13776
30;3;7436
5;3;23
6;3;22
7;3;65
8;3;91
9;3;175
10;3;100
11;3;118
12;3;164
13;3;392
14;3;823
15;3;876
16;3;653
17;3;1667
18;3;1514
19;3;3163
20;3;1570
22;3;3333
24;3;3680
26;3;5127
28;3;6501
30;3;19227
5;3;19
6;3;35
7;3;20
8;3;47
9;3;117
10;3;202
11;3;280
12;3;366
13;3;268
14;3;645
15;3;351
16;3;564
17;3;1272
18;3;1300
19;3;1215
20;3;1809
22;3;2176
24;3;5317
26;3;4304
28;3;5749
30;3;11225
5;3;18
6;3;43
7;3;54
8;3;58
9;3;91
10;3;177
11;3;131
12;3;273
13;3;431
14;3;491
15;3;367
16;3;522
17;3;988
18;3;920
19;3;1952
20;3;1580
22;3;1422
24;3;2319
26;3;2987
28;3;8474
30;3;19442
5;3;17
6;3;28
7;3;52
8;3;83
9;3;93
10;3;170
11;3;83
12;3;268
13;3;537
14;3;339
15;3;480
16;3;620
17;3;719
18;3;1590
19;3;1834
20;3;1130
22;3;2742
24;3;4698
26;3;10932
28;3;3018
30;3;8219
5;3;18
6;3;27
7;3;37
8;3;41
9;3;70
10;3;104
11;3;292
12;3;174
13;3;305
14;3;580
15;3;293
16;3;424
17;3;585
18;3;1200
19;3;1741
20;3;1191
22;3;5046
24;3;5197
26;3;4817
28;3;5661
30;3;5362
5;3;17
6;3;35
7;3;65
8;3;86
9;3;50
10;3;140
11;3;169
12;3;320
13;3;395
14;3;998
15;3;659
16;3;395
17;3;542
18;3;1178
19;3;1184
20;3;2545
22;3;3742
24;3;8322
26;3;4326
28;3;4375
30;3;7293
5;3;22
6;3;20
7;3;50
8;3;57
9;3;57
10;3;151
11;3;220
12;3;338
13;3;229
14;3;595
15;3;627
16;3;1110
17;3;656
18;3;1427
19;3;986
20;3;693
22;3;1794
24;3;1442
26;3;4627
28;3;14531
30;3;7031
5;3;22
6;3;27
7;3;27
8;3;125
9;3;229
10;3;156
11;3;225
12;3;196
13;3;385
14;3;333
15;3;409
16;3;617
17;3;727
18;3;602
19;3;1202
20;3;1702
22;3;3154
24;3;2303
26;3;3859
28;3;3316
30;3;6178
5;3;14
6;3;21
7;3;62
8;3;62
9;3;61
10;3;71
11;3;486
12;3;190
13;3;316
14;3;682
15;3;310
16;3;594
17;3;1017
18;3;1203
19;3;2726
20;3;1060
22;3;2543
24;3;1940
26;3;2275
28;3;13149
30;3;6024
5;3;23
6;3;39
7;3;45
8;3;79
9;3;106
10;3;90
11;3;164
12;3;317
13;3;218
14;3;238
15;3;222
16;3;304
17;3;1122
18;3;1352
19;3;1045
20;3;1603
22;3;941
24;3;8222
26;3;7561
28;3;7829
30;3;17615
5;3;18
6;3;40
7;3;69
8;3;57
9;3;165
10;3;239
11;3;276
12;3;269
13;3;189
14;3;353
15;3;468
16;3;932
17;3;772
18;3;1108
19;3;1083
20;3;1875
22;3;1937
24;3;6316
26;3;14812
28;3;3555
30;3;11563
5;3;15
6;3;43
7;3;56
8;3;83
9;3;103
10;3;225
11;3;256
12;3;276
13;3;462
14;3;242
15;3;473
16;3;1097
17;3;1026
18;3;1594
19;3;904
20;3;3018
22;3;2327
24;3;3524
26;3;3755
28;3;15671
30;3;13375
5;3;27
6;3;21
7;3;27
8;3;61
9;3;94
10;3;142
11;3;191
12;3;453
13;3;229
14;3;474
15;3;717
16;3;1535
17;3;1195
18;3;1159
19;3;2957
20;3;2052
22;3;1385
24;3;3550
26;3;1661
28;3;9920
30;3;6767
5;3;19
6;3;26
7;3;107
8;3;55
9;3;73
10;3;75
11;3;136
12;3;306
13;3;206
14;3;767
15;3;909
16;3;485
17;3;1252
18;3;1042
19;3;1843
20;3;2286
22;3;4608
24;3;6484
26;3;2688
28;3;8572
30;3;8709
5;3;23
6;3;33
7;3;59
8;3;50
9;3;148
10;3;166
11;3;108
12;3;187
13;3;551
14;3;394
15;3;327
16;3;769
17;3;701
18;3;1142
19;3;5071
20;3;947
22;3;1598
24;3;3230
26;3;1637
28;3;7910
30;3;4598
5;3;16
6;3;33
7;3;64
8;3;92
9;3;171
10;3;176
11;3;158
12;3;608
13;3;251
14;3;232
15;3;361
16;3;1172
17;3;712
18;3;522
19;3;2365
20;3;3437
22;3;2097
24;3;4180
26;3;3640
28;3;5338
30;3;37367
5;3;20
6;3;24
7;3;28
8;3;58
9;3;94
10;3;131
11;3;205
12;3;229
13;3;193
14;3;702
15;3;790
16;3;915
17;3;802
18;3;1056
19;3;1136
20;3;707
22;3;6029
24;3;5642
26;3;3843
28;3;14503
30;3;21124
5;3;14
6;3;32
7;3;42
8;3;28
9;3;110
10;3;138
11;3;177
12;3;139
13;3;829
14;3;353
15;3;1180
16;3;1129
17;3;461
18;3;1051
19;3;1575
20;3;916
22;3;1481
24;3;6871
26;3;13627
28;3;3200
30;3;5018
5;3;31
6;3;25
7;3;35
8;3;45
9;3;62
10;3;171
11;3;178
12;3;212
13;3;526
14;3;638
15;3;481
16;3;600
17;3;545
18;3;1355
19;3;844
20;3;2201
22;3;2554
24;3;2360
26;3;10030
28;3;9007
30;3;8750
5;3;28
6;3;36
7;3;47
8;3;59
9;3;45
10;3;160
11;3;293
12;3;359
13;3;519
14;3;374
15;3;423
16;3;557
17;3;1015
18;3;2310
19;3;3023
20;3;1153
22;3;2750
24;3;5003
26;3;4142
28;3;3656
30;3;11744
5;3;30
6;3;37
7;3;48
8;3;61
9;3;76
10;3;83
11;3;208
12;3;126
13;3;262
14;3;182
15;3;857
16;3;1513
17;3;643
18;3;3325
19;3;817
20;3;2371
22;3;3039
24;3;2240
26;3;5823
28;3;4221
30;3;6661
5;3;16
6;3;32
7;3;51
8;3;53
9;3;61
10;3;93
11;3;370
12;3;185
13;3;405
14;3;477
15;3;368
16;3;1601
17;3;1305
18;3;569
19;3;3637
20;3;1865
22;3;3497
24;3;3500
26;3;4490
28;3;5914
30;3;7647
5;3;19
6;3;32
7;3;64
8;3;54
9;3;44
10;3;91
11;3;172
12;3;370
13;3;350
14;3;600
15;3;252
16;3;652
17;3;1723
18;3;661
19;3;1354
20;3;3566
22;3;4313
24;3;7331
26;3;5005
28;3;2919
30;3;8902
5;3;28
6;3;30
7;3;33
8;3;82
9;3;164
10;3;134
11;3;154
12;3;441
13;3;355
14;3;484
15;3;1017
16;3;661
17;3;568
18;3;1164
19;3;1035
20;3;1178
22;3;6190
24;3;14601
26;3;3971
28;3;4025
30;3;8212
5;3;17
6;3;22
7;3;41
8;3;102
9;3;140
10;3;70
11;3;192
12;3;310
13;3;1271
14;3;230
15;3;378
16;3;1076
17;3;1009
18;3;1804
19;3;2496
20;3;2559
22;3;3209
24;3;8694
26;3;3277
28;3;10355
30;3;24126
5;3;17
6;3;27
7;3;81
8;3;79
9;3;121
10;3;189
11;3;332
12;3;430
13;3;376
14;3;257
15;3;436
16;3;595
17;3;825
18;3;950
19;3;1872
20;3;1744
22;3;3438
24;3;4455
26;3;6518
28;3;9956
30;3;7006
5;3;22
6;3;31
7;3;67
8;3;107
9;3;81
10;3;69
11;3;134
12;3;182
13;3;152
14;3;339
15;3;1273
16;3;1179
17;3;787
18;3;1170
19;3;2213
20;3;2621
22;3;3608
24;3;5645
26;3;7487
28;3;5993
30;3;8482
5;3;22
6;3;38
7;3;49
8;3;104
9;3;67
10;3;228
11;3;288
12;3;182
13;3;283
14;3;581
15;3;458
16;3;665
17;3;1117
18;3;1739
19;3;2131
20;3;1697
22;3;2708
24;3;6175
26;3;2038
28;3;24251
30;3;8220
5;3;22
6;3;63
7;3;50
8;3;125
9;3;100
10;3;82
11;3;264
12;3;193
13;3;709
14;3;952
15;3;812
16;3;436
17;3;1680
18;3;1416
19;3;3951
20;3;1270
22;3;2432
24;3;2009
26;3;8520
28;3;6282
30;3;4205
5;3;23
6;3;30
7;3;30
8;3;52
9;3;160
10;3;112
11;3;198
12;3;221
13;3;358
14;3;796
15;3;699
16;3;622
17;3;1555
18;3;1018
19;3;834
20;3;2230
22;3;3028
24;3;3590
26;3;3766
28;3;3373
30;3;17936
5;3;16
6;3;22
7;3;44
8;3;50
9;3;145
10;3;143
11;3;172
12;3;197
13;3;347
14;3;847
15;3;504
16;3;1630
17;3;688
18;3;1592
19;3;1809
20;3;1768
22;3;3287
24;3;5026
26;3;3803
28;3;11051
30;3;15307
5;3;23
6;3;22
7;3;46
8;3;55
9;3;108
10;3;155
11;3;124
12;3;543
13;3;459
14;3;307
15;3;719
16;3;663
17;3;1920
18;3;1583
19;3;2650
20;3;1509
22;3;3699
24;3;3042
26;3;1730
28;3;4023
30;3;12288
5;3;14
6;3;29
7;3;29
8;3;66
9;3;214
10;3;163
11;3;237
12;3;266
13;3;441
14;3;465
15;3;367
16;3;1079
17;3;2005
18;3;497
19;3;2071
20;3;1255
22;3;1657
24;3;7607
26;3;3908
28;3;13426
30;3;15307
5;3;17
6;3;24
7;3;53
8;3;71
9;3;59
10;3;343
11;3;267
12;3;169
13;3;347
14;3;438
15;3;347
16;3;692
17;3;550
18;3;863
19;3;4006
20;3;1511
22;3;1812
24;3;1473
26;3;4542
28;3;15504
30;3;9911
5;3;16
6;3;40
7;3;44
8;3;44
9;3;146
10;3;126
11;3;176
12;3;510
13;3;522
14;3;787
15;3;1011
16;3;951
17;3;1101
18;3;957
19;3;1455
20;3;2339
22;3;3501
24;3;1920
26;3;5317
28;3;2684
30;3;14156
5;3;12
6;3;27
7;3;60
8;3;91
9;3;51
10;3;132
11;3;138
12;3;191
13;3;190
14;3;233
15;3;901
16;3;329
17;3;703
18;3;763
19;3;1022
20;3;3164
22;3;1044
24;3;2073
26;3;12010
28;3;3272
30;3;7885
5;3;22
6;3;34
7;3;24
8;3;59
9;3;70
10;3;193
11;3;114
12;3;455
13;3;246
14;3;537
15;3;399
16;3;960
17;3;496
18;3;923
19;3;2293
20;3;1778
22;3;3303
24;3;5111
26;3;4926
28;3;9601
30;3;8271
5;3;30
6;3;32
7;3;43
8;3;110
9;3;183
10;3;74
11;3;291
12;3;452
13;3;316
14;3;450
15;3;676
16;3;1347
17;3;1287
18;3;2381
19;3;1686
20;3;2348
22;3;1451
24;3;5129
26;3;12286
28;3;14650
30;3;8032
5;3;23
6;3;28
7;3;62
8;3;98
9;3;95
10;3;137
11;3;154
12;3;161
13;3;532
14;3;792
15;3;402
16;3;514
17;3;1542
18;3;1872
19;3;976
20;3;1322
22;3;5617
24;3;5043
26;3;25606
28;3;5013
30;3;13923
5;3;31
6;3;45
7;3;39
8;3;51
9;3;165
10;3;289
11;3;203
12;3;218
13;3;289
14;3;641
15;3;686
16;3;943
17;3;1171
18;3;1254
19;3;1440
20;3;3070
22;3;5281
24;3;2733
26;3;6055
28;3;6444
30;3;6650
5;3;18
6;3;31
7;3;39
8;3;46
9;3;143
10;3;111
11;3;57
12;3;269
13;3;370
14;3;333
15;3;790
16;3;1320
17;3;1650
18;3;1971
19;3;1232
20;3;1795
22;3;1516
24;3;2905
26;3;2850
28;3;5901
30;3;12378
5;3;10
6;3;37
7;3;38
8;3;130
9;3;142
10;3;108
11;3;126
12;3;239
13;3;226
14;3;321
15;3;418
16;3;460
17;3;528
18;3;1000
19;3;1300
20;3;1180
22;3;3575
24;3;1635
26;3;4963
28;3;9358
30;3;9014
5;3;31
6;3;26
7;3;33
8;3;57
9;3;144
10;3;103
11;3;219
12;3;187
13;3;196
14;3;455
15;3;419
16;3;645
17;3;1066
18;3;904
19;3;655
20;3;500
22;3;3061
24;3;887
26;3;2615
28;3;9267
30;3;8911
5;3;28
6;3;29
7;3;58
8;3;75
9;3;87
10;3;245
11;3;141
12;3;164
13;3;271
14;3;214
15;3;1095
16;3;977
17;3;1160
18;3;4445
19;3;571
20;3;777
22;3;1498
24;3;2349
26;3;2243
28;3;5152
30;3;10219
5;3;11
6;3;30
7;3;77
8;3;30
9;3;70
10;3;315
11;3;313
12;3;357
13;3;771
14;3;750
15;3;433
16;3;956
17;3;890
18;3;617
19;3;547
20;3;1206
22;3;3340
24;3;1561
26;3;5238
28;3;15579
30;3;10607
5;3;19
6;3;30
7;3;25
8;3;196
9;3;149
10;3;177
11;3;206
12;3;481
13;3;234
14;3;273
15;3;671
16;3;478
17;3;625
18;3;1496
19;3;4896
20;3;944
22;3;3879
24;3;2796
26;3;7353
28;3;6144
30;3;4539
5;3;23
6;3;32
7;3;45
8;3;85
9;3;122
10;3;96
11;3;132
12;3;284
13;3;401
14;3;1100
15;3;277
16;3;622
17;3;2547
18;3;3261
19;3;3474
20;3;3126
22;3;2483
24;3;2072
26;3;5871
28;3;7699
30;3;9078
5;3;18
6;3;41
7;3;44
8;3;58
9;3;61
10;3;161
11;3;246
12;3;561
13;3;221
14;3;186
15;3;751
16;3;995
17;3;852
18;3;1022
19;3;1148
20;3;851
22;3;2275
24;3;7884
26;3;2637
28;3;4260
30;3;13988
5;3;21
6;3;20
7;3;49
8;3;41
9;3;90
10;3;171
11;3;155
12;3;358
13;3;254
14;3;162
15;3;1151
16;3;500
17;3;732
18;3;700
19;3;2091
20;3;2951
22;3;1270
24;3;7989
26;3;7345
28;3;14350
30;3;9389
5;3;20
6;3;47
7;3;54
8;3;77
9;3;108
10;3;128
11;3;376
12;3;334
13;3;193
14;3;499
15;3;588
16;3;413
17;3;958
18;3;1194
19;3;1847
20;3;467
22;3;2773
24;3;1885
26;3;4928
28;3;7094
30;3;25572
5;3;15
6;3;20
7;3;43
8;3;62
9;3;97
10;3;219
11;3;270
12;3;279
13;3;631
14;3;394
15;3;481
16;3;973
17;3;1776
18;3;873
19;3;1257
20;3;1166
22;3;1488
24;3;5926
26;3;3867
28;3;4126
30;3;7629
5;3;19
6;3;33
7;3;46
8;3;54
9;3;99
10;3;190
11;3;128
12;3;298
13;3;233
14;3;430
15;3;690
16;3;758
17;3;1235
18;3;863
19;3;2335
20;3;4814
22;3;1326
24;3;5016
26;3;3918
28;3;8470
30;3;12340
5;3;17
6;3;47
7;3;50
8;3;94
9;3;133
10;3;93
11;3;170
12;3;401
13;3;561
14;3;288
15;3;717
16;3;595
17;3;494
18;3;1831
19;3;870
20;3;1463
22;3;2381
24;3;7332
26;3;3004
28;3;6694
30;3;15406
5;3;20
6;3;30
7;3;53
8;3;55
9;3;104
10;3;188
11;3;99
12;3;186
13;3;270
14;3;528
15;3;471
16;3;368
17;3;1504
18;3;736
19;3;1596
20;3;968
22;3;2463
24;3;3301
26;3;6707
28;3;6184
30;3;15629
5;3;14
6;3;28
7;3;62
8;3;78
9;3;144
10;3;109
11;3;127
12;3;221
13;3;882
14;3;532
15;3;558
16;3;412
17;3;603
18;3;1860
19;3;1911
20;3;2857
22;3;3330
24;3;2359
26;3;6477
28;3;8368
30;3;10985
5;3;17
6;3;39
7;3;69
8;3;126
9;3;108
10;3;112
11;3;286
12;3;396
13;3;561
14;3;459
15;3;499
16;3;1072
17;3;1842
18;3;1001
19;3;1868
20;3;620
22;3;5247
24;3;2394
26;3;6043
28;3;12084
30;3;6545
5;3;13
6;3;28
7;3;31
8;3;133
9;3;145
10;3;208
11;3;311
12;3;708
13;3;283
14;3;389
15;3;552
16;3;650
17;3;727
18;3;1140
19;3;1912
20;3;2599
22;3;3480
24;3;1599
26;3;11636
28;3;6561
30;3;19448
5;3;20
6;3;28
7;3;35
8;3;83
9;3;74
10;3;152
11;3;141
12;3;167
13;3;149
14;3;481
15;3;664
16;3;823
17;3;1162
18;3;1729
19;3;1819
20;3;1501
22;3;3141
24;3;1918
26;3;3893
28;3;3888
30;3;8486
5;3;17
6;3;32
7;3;36
8;3;84
9;3;82
10;3;98
11;3;462
12;3;435
13;3;285
14;3;1295
15;3;532
16;3;1030
17;3;1902
18;3;1361
19;3;1009
20;3;1396
22;3;3046
24;3;2959
26;3;4789
28;3;6210
30;3;4679
5;3;20
6;3;31
7;3;23
8;3;68
9;3;75
10;3;256
11;3;128
12;3;178
13;3;457
14;3;363
15;3;639
16;3;714
17;3;628
18;3;718
19;3;637
20;3;1615
22;3;1892
24;3;3620
26;3;5191
28;3;7243
30;3;4430
5;4;23
6;4;34
7;4;42
8;4;145
9;4;373
10;4;243
11;4;388
12;4;346
13;4;393
14;4;828
15;4;1663
16;4;1637
17;4;1144
18;4;931
19;4;2683
20;4;2734
22;4;2406
24;4;14649
26;4;26590
28;4;14224
30;4;23500
5;4;31
6;4;27
7;4;61
8;4;50
9;4;172
10;4;275
11;4;395
12;4;239
13;4;1407
14;4;775
15;4;2414
16;4;1392
17;4;2971
18;4;4128
19;4;3346
20;4;2785
22;4;5192
24;4;10644
26;4;14323
28;4;13685
30;4;20130
5;4;27
6;4;39
7;4;66
8;4;46
9;4;125
10;4;71
11;4;236
12;4;222
13;4;685
14;4;665
15;4;1815
16;4;1640
17;4;1198
18;4;4259
19;4;8786
20;4;2740
22;4;8396
24;4;14617
26;4;8224
28;4;33750
30;4;16685
5;4;23
6;4;35
7;4;115
8;4;69
9;4;278
10;4;446
11;4;343
12;4;314
13;4;498
14;4;721
15;4;1426
16;4;1442
17;4;1264
18;4;2252
19;4;3618
20;4;1669
22;4;7974
24;4;14260
26;4;13674
28;4;8011
30;4;12610
5;4;19
6;4;41
7;4;71
8;4;111
9;4;167
10;4;305
11;4;297
12;4;412
13;4;197
14;4;1472
15;4;768
16;4;1080
17;4;1161
18;4;1441
19;4;1051
20;4;4160
22;4;4633
24;4;16524
26;4;11015
28;4;14288
30;4;30224
5;4;31
6;4;32
7;4;37
8;4;129
9;4;96
10;4;258
11;4;209
12;4;167
13;4;542
14;4;694
15;4;784
16;4;1212
17;4;1389
18;4;4981
19;4;2979
20;4;3004
22;4;5270
24;4;3496
26;4;21157
28;4;37246
30;4;72333
5;4;31
6;4;46
7;4;36
8;4;141
9;4;156
10;4;374
11;4;577
12;4;252
13;4;722
14;4;385
15;4;802
16;4;835
17;4;1703
18;4;1970
19;4;1608
20;4;3750
22;4;11545
24;4;4244
26;4;14984
28;4;34879
30;4;21108
5;4;23
6;4;35
7;4;49
8;4;131
9;4;255
10;4;219
11;4;178
12;4;251
13;4;764
14;4;2224
15;4;636
16;4;1415
17;4;784
18;4;3754
19;4;2790
20;4;12094
22;4;3952
24;4;12507
26;4;7563
28;4;16404
30;4;35640
5;4;27
6;4;24
7;4;66
8;4;145
9;4;111
10;4;150
11;4;141
12;4;542
13;4;789
14;4;610
15;4;718
16;4;2381
17;4;2358
18;4;1375
19;4;3221
20;4;4970
22;4;8123
24;4;3679
26;4;36893
28;4;14585
30;4;18392
5;4;20
6;4;37
7;4;57
8;4;152
9;4;127
10;4;145
11;4;223
12;4;626
13;4;838
14;4;391
15;4;1068
16;4;1151
17;4;2108
18;4;2365
19;4;4359
20;4;2765
22;4;11403
24;4;13207
26;4;10809
28;4;9051
30;4;14456
5;4;21
6;4;33
7;4;39
8;4;98
9;4;112
10;4;156
11;4;695
12;4;500
13;4;302
14;4;1639
15;4;1416
16;4;840
17;4;1334
18;4;1228
19;4;1814
20;4;3068
22;4;6082
24;4;5713
26;4;7567
28;4;53061
30;4;15385
5;4;24
6;4;51
7;4;62
8;4;82
9;4;216
10;4;282
11;4;385
12;4;302
13;4;894
14;4;1815
15;4;845
16;4;3188
17;4;2003
18;4;3507
19;4;4053
20;4;2193
22;4;5894
24;4;4376
26;4;29165
28;4;14008
30;4;27555
5;4;17
6;4;59
7;4;51
8;4;101
9;4;188
10;4;212
11;4;212
12;4;619
13;4;790
14;4;609
15;4;838
16;4;1058
17;4;1080
18;4;2917
19;4;2063
20;4;3103
22;4;9583
24;4;5432
26;4;8814
28;4;10303
30;4;14456
5;4;31
6;4;44
7;4;63
8;4;89
9;4;117
10;4;91
11;4;261
12;4;550
13;4;391
14;4;2318
15;4;1247
16;4;1601
17;4;3471
18;4;1452
19;4;2940
20;4;10273
22;4;2262
24;4;8593
26;4;20331
28;4;15495
30;4;18388
5;4;23
6;4;40
7;4;78
8;4;104
9;4;119
10;4;175
11;4;182
12;4;331
13;4;2143
14;4;884
15;4;1253
16;4;840
17;4;2461
18;4;3355
19;4;3540
20;4;3087
22;4;9863
24;4;21319
26;4;5550
28;4;14472
30;4;10654
5;4;23
6;4;27
7;4;38
8;4;113
9;4;106
10;4;175
11;4;356
12;4;345
13;4;575
14;4;841
15;4;1593
16;4;885
17;4;532
18;4;2199
19;4;5613
20;4;7798
22;4;8943
24;4;5392
26;4;4096
28;4;18964
30;4;36079
5;4;31
6;4;45
7;4;59
8;4;78
9;4;95
10;4;379
11;4;172
12;4;607
13;4;197
14;4;602
15;4;1983
16;4;1856
17;4;1603
18;4;3943
19;4;1144
20;4;2745
22;4;8694
24;4;25245
26;4;13298
28;4;13626
30;4;63897
5;4;31
6;4;32
7;4;65
8;4;102
9;4;102
10;4;150
11;4;263
12;4;1281
13;4;719
14;4;1118
15;4;1203
16;4;1282
17;4;2011
18;4;1905
19;4;2873
20;4;9436
22;4;5422
24;4;13353
26;4;13551
28;4;22104
30;4;91654
5;4;18
6;4;23
7;4;60
8;4;115
9;4;73
10;4;320
11;4;575
12;4;898
13;4;611
14;4;1064
15;4;1051
16;4;1083
17;4;1005
18;4;3191
19;4;2119
20;4;6440
22;4;11937
24;4;25414
26;4;25559
28;4;32407
30;4;43275
5;4;22
6;4;42
7;4;48
8;4;160
9;4;100
10;4;211
11;4;583
12;4;475
13;4;829
14;4;527
15;4;1172
16;4;3060
17;4;3021
18;4;1276
19;4;2768
20;4;1407
22;4;8732
24;4;18205
26;4;13901
28;4;6593
30;4;23169
5;4;19
6;4;51
7;4;70
8;4;76
9;4;182
10;4;286
11;4;342
12;4;415
13;4;305
14;4;673
15;4;1070
16;4;2476
17;4;4099
18;4;1640
19;4;5653
20;4;2405
22;4;3112
24;4;17954
26;4;31236
28;4;6846
30;4;23975
5;4;23
6;4;24
7;4;63
8;4;97
9;4;319
10;4;133
11;4;299
12;4;744
13;4;326
14;4;948
15;4;675
16;4;1357
17;4;3245
18;4;1479
19;4;1258
20;4;3324
22;4;6562
24;4;16219
26;4;7881
28;4;83170
30;4;12954
5;4;31
6;4;42
7;4;61
8;4;66
9;4;132
10;4;259
11;4;252
12;4;318
13;4;396
14;4;1625
15;4;1504
16;4;1956
17;4;1443
18;4;2277
19;4;3781
20;4;5560
22;4;5956
24;4;5841
26;4;9307
28;4;21048
30;4;42918
5;4;27
6;4;39
7;4;121
8;4;96
9;4;143
10;4;128
11;4;273
12;4;515
13;4;352
14;4;1444
15;4;2222
16;4;1394
17;4;2705
18;4;4306
19;4;3855
20;4;3502
22;4;2959
24;4;11662
26;4;6078
28;4;12997
30;4;54881
5;4;15
6;4;39
7;4;60
8;4;125
9;4;190
10;4;145
11;4;545
12;4;271
13;4;363
14;4;1191
15;4;1261
16;4;3460
17;4;3777
18;4;2693
19;4;1574
20;4;2911
22;4;3540
24;4;28810
26;4;5832
28;4;15898
30;4;25885
5;4;31
6;4;25
7;4;50
8;4;129
9;4;133
10;4;189
11;4;287
12;4;466
13;4;368
14;4;1038
15;4;1272
16;4;5052
17;4;1219
18;4;1971
19;4;10107
20;4;3621
22;4;10252
24;4;6100
26;4;13916
28;4;13237
30;4;82037
5;4;20
6;4;21
7;4;78
8;4;92
9;4;192
10;4;278
11;4;237
12;4;478
13;4;371
14;4;867
15;4;1426
16;4;1213
17;4;1330
18;4;2372
19;4;2396
20;4;5565
22;4;3317
24;4;15675
26;4;16659
28;4;19975
30;4;30467
5;4;22
6;4;33
7;4;47
8;4;148
9;4;111
10;4;188
11;4;411
12;4;673
13;4;732
14;4;721
15;4;856
16;4;1209
17;4;1571
18;4;3288
19;4;1706
20;4;2554
22;4;6222
24;4;10326
26;4;7251
28;4;33539
30;4;22294
5;4;23
6;4;38
7;4;61
8;4;50
9;4;134
10;4;133
11;4;251
12;4;517
13;4;427
14;4;906
15;4;1234
16;4;1485
17;4;6044
18;4;4507
19;4;2633
20;4;10101
22;4;7317
24;4;5243
26;4;8138
28;4;7315
30;4;33030
5;4;16
6;4;40
7;4;44
8;4;87
9;4;117
10;4;204
11;4;409
12;4;192
13;4;663
14;4;1132
15;4;2446
16;4;1976
17;4;2396
18;4;6879
19;4;2864
20;4;5561
22;4;3979
24;4;12389
26;4;6719
28;4;11890
30;4;18164
5;4;25
6;4;63
7;4;48
8;4;118
9;4;123
10;4;195
11;4;612
12;4;738
13;4;774
14;4;586
15;4;772
16;4;1156
17;4;1098
18;4;1905
19;4;2231
20;4;1949
22;4;6659
24;4;15426
26;4;3937
28;4;26053
30;4;30187
5;4;24
6;4;37
7;4;79
8;4;118
9;4;104
10;4;260
11;4;209
12;4;627
13;4;402
14;4;864
15;4;361
16;4;1142
17;4;1525
18;4;1619
19;4;2858
20;4;7554
22;4;3793
24;4;4489
26;4;22511
28;4;9515
30;4;34546
5;4;19
