mokp
c;ndim;m;n;i;nd;comp;time;maxnd
varchar;int;int;int;int;int;int;float;int
A;3;3;60;6;2731;39613843;371.496;94816
C;2;2;100;7;701;110096373;5835.684;139588
B;2;2;500;1;39;501488966;3794.286;126608
A;3;3;70;4;1560;39774365;212.119;90982
D;1;2;50;10;483;13077903953;1152.047;73306
A;3;3;70;8;1615;37292859;207.580;79354
A;1;3;70;4;1565;19561439952;1662.960;91299
A;3;3;70;10;1231;28638265;96.698;54208
A;1;3;70;10;1277;8636343755;638.685;54527
A;2;3;70;9;1644;11663828850;1011.622;96884
A;1;3;70;7;2313;22725915563;1967.234;103777
A;3;3;80;3;3512;96300594;1329.798;156680
A;3;3;80;5;2659;113209082;1566.744;207275
B;3;3;200;2;108;42329273;40.679;36117
B;1;3;200;3;59;246107370;7.617;24733
B;2;3;200;3;42;104813437;36.804;23466
B;3;3;300;9;250;257525653;664.459;113218
A;2;3;80;5;2659;40077812473;5615.144;207275
C;1;3;20;2;336;3216789;0.085;1572
C;1;3;20;9;104;1133771;0.018;945
C;1;3;20;7;314;8870721;0.166;2769
C;3;3;20;10;454;217401;0.044;2033
C;3;3;30;9;688;1562104;0.577;10920
C;2;3;30;10;1033;115166509;5.630;14308
C;2;3;30;6;1324;77976804;6.080;18261
C;1;3;30;7;1765;507015860;17.193;19300
C;3;3;40;8;3414;11644477;21.358;46988
D;2;3;10;2;68;14915;0.001;136
C;1;3;40;9;1993;2780805188;99.124;43592
D;3;3;10;3;102;5842;0.001;178
D;2;3;10;7;104;21839;0.001;196
C;1;3;40;3;2803;5783358606;205.114;59119
D;1;3;10;10;96;25174;0.001;148
D;3;3;10;9;100;6330;0.002;192
D;3;3;20;8;3980;2520680;2.754;28069
D;3;3;20;6;7411;3466505;4.381;31769
D;1;3;20;10;4315;317140685;13.534;18121
D;1;3;20;8;4010;705716420;36.267;28213
D;3;3;30;4;10498;60605001;687.454;346818
D;2;3;30;5;7292;33793536629;2977.143;225965
A;1;2;60;5;66;12426635;0.206;2096
A;2;2;60;4;62;1058246;0.354;2741
A;2;2;60;3;71;1525291;0.687;3437
A;1;2;60;6;109;103534833;2.035;6866
A;1;2;80;10;112;152139520;3.317;8058
A;2;2;100;10;127;10501256;16.710;16364
A;1;2;80;9;175;700026931;24.179;14949
A;1;2;100;1;195;3720479715;214.476;37841
A;1;2;100;6;196;3718455743;233.645;31398
A;2;2;120;6;248;42756914;410.141;45406
A;1;2;120;5;292;7176151748;526.468;40802
B;2;2;400;6;28;110976315;385.230;36778
C;1;2;60;2;192;342937529;9.493;10104
C;1;2;60;4;221;244388454;6.262;11119
C;1;2;60;5;203;329604977;8.985;11597
C;2;2;60;6;308;6099493;8.438;13682
C;2;2;60;7;292;11895507;44.349;26238
C;1;2;80;4;264;2416617912;124.879;30952
B;1;2;400;10;45;17406619609;633.390;186850
B;1;2;500;9;76;17992784169;733.960;129838
C;2;2;80;9;327;28327254;421.295;47314
D;1;2;40;10;394;1543142121;83.619;28902
C;1;2;80;7;542;22249059152;2079.399;72537
D;1;2;50;1;555;19581372744;1747.329;91350
A;2;3;50;6;841;761217031;80.600;36598
A;1;3;50;8;527;406473960;12.947;13672
A;2;3;50;9;470;324552237;15.274;21236
A;3;3;50;9;470;5225667;5.476;21236
A;2;3;50;10;359;115944643;5.789;11747
A;3;3;50;10;359;4284421;2.451;11747
D;2;2;50;10;466;27379391;636.222;70989
A;1;3;60;1;1389;6534727643;676.191;52972
A;1;3;60;5;1411;4422054559;329.227;42313
A;3;3;60;8;1081;16408667;46.940;40011
A;3;3;60;9;950;16681968;35.310;46276
D;2;2;50;2;560;39543311;1248.486;101263
A;2;3;70;10;1231;2911052482;328.711;54208
B;2;2;500;10;58;936587891;8421.566;274587
A;3;3;80;4;2356;82098261;856.615;141730
C;1;2;100;3;693;64071282654;6746.202;130717
A;2;3;70;5;1655;9246266935;1130.141;117309
B;1;3;200;2;108;695620452;21.287;36542
B;2;3;200;2;108;222536280;50.881;36117
D;2;2;50;6;553;57375369;4183.196;144493
B;1;3;300;4;79;1973729027;50.621;64553
B;2;3;300;4;78;612250788;320.172;63202
B;3;3;300;3;98;225827017;639.532;98967
B;3;3;300;4;78;119644953;317.952;63202
A;3;3;70;6;3413;100347469;2669.750;234049
B;2;3;300;2;306;5325460376;1190.681;182146
A;1;3;70;5;1665;25607055197;2281.196;118157
A;1;3;70;6;3439;124989102378;15032.918;237425
A;1;3;80;3;3540;77951415382;9988.362;157531
B;1;3;400;5;600;171024099743;11949.448;504685
C;1;3;20;3;177;1087226;0.031;905
C;2;3;20;2;336;1520559;0.081;1572
C;2;3;20;6;211;358761;0.039;1598
C;3;3;20;9;102;84356;0.019;938
C;3;3;30;2;679;1502333;0.819;8381
C;2;3;30;4;729;58416053;2.125;9393
C;1;3;30;3;651;219714101;7.206;16113
C;3;3;40;2;1759;8575439;18.707;32709
D;1;3;10;2;68;25365;0.001;136
C;2;3;40;9;1958;646221156;54.779;42779
C;1;3;40;1;1887;2354892417;108.120;36891
D;2;3;10;5;107;24380;0.001;202
C;2;3;40;5;3373;4123122723;205.825;76651
D;3;3;10;5;107;7810;0.002;202
D;2;3;20;3;1248;26195161;1.692;13494
D;2;3;20;5;2759;189159364;11.708;17945
D;1;3;20;5;2788;327755993;12.332;18068
D;1;3;20;7;3555;555319386;24.923;26455
D;3;3;30;9;9522;48513384;568.846;293482
D;2;3;30;7;13576;70662390228;6883.123;328404
A;2;2;60;5;62;852179;0.236;2019
A;2;2;60;6;109;2493647;1.800;6832
A;2;2;80;9;173;7974293;18.150;14849
A;1;2;100;5;181;1133107501;56.656;21819
B;2;2;200;1;8;8052115;8.423;8758
B;1;2;200;3;8;7004359;0.350;3189
B;1;2;200;4;11;6374024;0.367;2619
B;2;2;200;4;7;3438765;1.944;2561
B;2;2;200;5;14;7298339;6.038;6639
B;1;2;200;8;6;16079243;0.787;5221
B;2;2;200;8;6;6439269;5.582;5122
B;2;2;200;10;18;6764729;5.398;6043
B;1;2;300;2;18;165253256;5.917;18421
B;1;2;300;3;24;81944234;3.349;10136
B;1;2;300;4;17;53364857;2.768;8584
B;2;2;300;4;17;17139200;21.737;8364
B;1;2;300;8;15;212725902;7.390;21230
B;2;2;300;8;15;39602213;102.136;20574
B;1;2;400;9;49;2345588843;73.525;58118
B;1;2;500;4;34;1606174948;46.222;56253
A;1;2;120;4;237;4935519921;336.120;40409
B;1;2;500;6;46;7109703505;233.964;93154
C;1;2;20;1;32;85063;0.002;215
C;2;2;20;1;32;19684;0.002;215
C;1;2;20;2;35;102972;0.002;238
C;2;2;20;2;35;20681;0.003;238
C;1;2;20;3;87;344204;0.006;482
C;2;2;20;3;86;44065;0.006;474
C;1;2;20;4;22;101026;0.003;294
C;2;2;20;4;22;23959;0.003;292
C;1;2;20;5;27;61441;0.002;168
C;2;2;20;5;27;17695;0.002;168
C;1;2;20;6;48;177667;0.003;319
C;2;2;20;6;48;28165;0.004;319
C;1;2;20;7;94;356614;0.006;467
C;2;2;20;7;84;47834;0.007;464
C;1;2;20;8;59;181201;0.004;292
C;2;2;20;8;59;29012;0.004;292
C;1;2;20;9;41;128065;0.003;240
C;2;2;20;9;41;24919;0.003;238
C;1;2;20;10;34;121214;0.003;314
C;2;2;20;10;34;28443;0.004;314
C;1;2;40;1;57;13888463;0.222;2750
C;2;2;40;1;57;671241;0.200;2740
C;1;2;40;2;100;14555896;0.217;2588
C;2;2;40;2;96;592818;0.163;2577
C;1;2;40;3;172;36296747;0.618;3623
C;2;2;40;3;168;957638;0.371;3584
C;1;2;40;4;93;15432162;0.252;3234
C;2;2;40;4;91;793791;0.211;3203
C;1;2;40;5;83;13142036;0.199;3136
C;2;2;40;5;82;530006;0.128;3045
C;1;2;40;6;126;21998413;0.344;3264
C;2;2;40;6;125;758949;0.214;3247
C;1;2;40;7;170;139043257;3.487;7912
C;2;2;40;7;167;2178970;1.653;7706
C;2;2;40;9;114;946064;0.354;4243
C;2;2;40;10;121;1022490;0.390;4985
C;2;2;60;1;233;5402009;7.088;14715
C;2;2;60;2;185;4055394;4.033;9556
C;2;2;60;3;307;7955159;25.624;18686
C;1;2;60;8;182;233440326;6.123;8459
C;2;2;60;8;177;3490248;3.037;8324
C;2;2;60;9;274;6970452;16.231;18110
C;2;2;60;10;184;6902365;10.790;15985
C;1;2;80;1;489;6009737857;515.607;45465
D;1;2;20;1;204;3427632;0.048;1835
D;2;2;20;1;192;150276;0.031;1767
D;1;2;20;2;153;6958914;0.102;2652
D;2;2;20;2;146;264949;0.076;2639
D;1;2;20;3;241;14874955;0.238;3648
D;2;2;20;3;238;371706;0.167;3581
D;1;2;20;4;218;9474348;0.142;2937
D;2;2;20;4;205;314895;0.085;2704
D;1;2;20;5;114;5228624;0.077;1997
D;2;2;20;5;112;227125;0.067;1914
D;1;2;20;6;165;21683974;0.371;4445
D;2;2;20;6;162;483526;0.306;4359
D;1;2;20;7;145;10936082;0.171;3366
D;2;2;20;7;136;330922;0.126;3196
D;1;2;20;8;211;13353105;0.208;3382
D;2;2;20;8;210;365581;0.209;3352
D;1;2;20;9;196;7365099;0.109;2386
D;2;2;20;9;196;253569;0.101;2362
D;1;2;20;10;102;2831448;0.042;1848
D;2;2;20;10;98;173245;0.041;1839
D;1;2;30;1;246;183652802;5.372;10962
D;2;2;30;1;241;1864369;2.211;10571
D;1;2;30;2;225;304839541;11.430;14657
D;2;2;30;2;219;2665231;3.875;14075
A;1;3;50;7;515;385534118;12.755;12873
A;2;3;50;7;507;107531813;5.658;12828
A;3;3;50;7;507;4057144;2.995;12828
A;2;3;50;8;524;116409692;6.867;13576
A;3;3;50;8;524;4570139;3.465;13576
A;1;3;50;9;470;531591120;20.052;21273
A;1;3;50;10;362;351619188;11.096;11820
A;3;3;60;1;1374;20964714;139.955;52749
A;2;3;60;1;1374;5150609706;597.436;52749
A;1;3;60;2;753;4342119280;440.412;45330
A;1;3;60;4;976;3535169759;269.257;38458
A;3;3;70;7;2291;39871648;326.341;103042
D;1;2;50;9;560;27368870134;3575.816;109750
B;3;3;100;8;8;388708;0.104;916
B;1;3;100;9;21;2048062;0.092;1768
B;2;3;100;9;10;1192649;0.213;1185
B;3;3;100;9;10;736990;0.202;1185
B;1;3;100;10;40;2864962;0.100;1681
B;2;3;100;10;43;1674088;0.234;1669
B;3;3;100;10;43;837358;0.220;1669
B;1;3;200;1;70;506533330;15.276;32057
B;2;3;200;1;69;243089539;38.829;31463
B;3;3;200;1;69;37030239;33.553;31463
A;2;3;80;7;3336;38397792900;5386.078;182486
B;2;3;300;7;219;2546085157;536.148;98204
A;1;3;80;8;1762;44410450433;5458.926;130136
B;3;3;400;3;134;665104436;3754.016;267251
A;2;3;80;2;1643;13705506618;2299.637;127528
C;3;3;20;4;133;69779;0.010;834
C;3;3;20;5;366;194882;0.043;2018
C;2;3;30;3;646;33326218;2.398;15999
C;2;3;30;7;1744;117185682;7.127;19228
C;3;3;40;9;1958;10225751;13.660;42779
D;3;3;10;1;109;6129;0.001;175
D;2;3;10;8;120;11185;0.001;187
D;2;3;20;10;4248;94686639;5.034;17738
D;3;3;30;5;7292;40688045;840.313;225965
C;1;3;40;6;3270;10861341339;1410.425;69347
A;1;2;40;1;30;1926701;0.035;1460
A;2;2;40;1;30;264469;0.047;1392
A;1;2;60;8;61;33096751;0.525;3544
A;1;2;60;7;96;159877652;3.700;9234
A;2;2;80;1;108;9849657;17.530;20224
A;2;2;100;1;192;25719749;106.949;36455
B;1;2;300;5;31;349249789;10.760;24717
A;2;2;120;3;162;30524084;130.944;37640
B;1;2;300;10;27;958648065;24.374;42092
B;2;2;300;6;18;31760704;62.651;15111
B;1;2;400;3;29;603254582;16.934;30538
B;1;2;400;2;29;1274193309;34.371;50677
B;1;2;400;6;31;1117166235;32.411;38195
B;2;2;400;4;17;53434506;144.212;19188
B;1;2;500;5;71;11048309015;332.567;115667
A;1;2;120;1;243;12106311907;919.669;60904
C;2;2;80;3;556;37024778;556.668;61579
A;2;3;60;4;968;1201002577;96.904;38277
A;1;3;60;7;1341;4786042599;498.589;54497
C;1;2;100;10;577;45997909515;5417.822;109781
A;2;3;70;2;1070;4370006215;618.865;81362
A;2;3;70;8;1615;4199911776;553.602;79354
A;3;3;80;2;1643;80213565;894.130;127528
C;2;2;100;9;641;86341769;3395.102;104797
D;1;2;50;6;576;55630908863;6496.581;149804
B;1;3;200;5;57;208123313;5.859;19852
B;3;3;200;5;52;22506470;19.291;19377
B;1;3;200;6;62;656764393;19.119;42673
B;3;3;200;6;77;43078847;51.166;41357
B;1;3;200;7;51;236601728;6.336;24369
B;3;3;200;7;50;21255770;18.385;24151
B;1;3;200;8;33;45179436;1.659;8453
B;2;3;200;8;33;24476893;6.861;8372
B;3;3;200;8;33;9605287;6.150;8372
B;1;3;200;9;97;581471013;20.996;27156
A;1;3;80;7;3365;88162497801;9331.972;184146
B;2;3;400;5;561;79995699366;12801.422;485369
C;3;3;20;3;177;80876;0.011;905
C;3;3;20;7;311;240754;0.044;2769
C;2;3;20;10;454;2319134;0.080;2033
C;3;3;30;10;1033;2552990;1.208;14308
C;1;3;30;6;1335;472994181;20.937;18324
D;1;3;10;1;111;41631;0.001;177
C;2;3;40;1;1874;1062833076;66.822;36785
D;2;3;10;4;99;12264;0.001;166
C;1;3;40;4;2910;3111154261;154.775;45856
D;2;3;10;9;100;15509;0.001;192
D;3;3;20;3;1248;1299568;0.609;13494
D;3;3;20;10;4248;1615300;1.238;17738
D;3;3;20;7;3499;2496077;2.372;26297
D;3;3;30;2;8703;50827358;816.131;272238
D;3;3;30;1;10338;60030513;940.403;290481
D;2;3;30;4;10498;32170740799;4023.713;346818
A;1;2;40;2;17;816209;0.016;513
A;2;2;40;2;17;119060;0.020;513
A;1;2;40;4;30;1623780;0.033;1155
A;1;2;40;3;38;4048866;0.064;1446
A;2;2;60;8;59;1372537;0.599;3489
A;2;2;60;7;94;2938277;2.314;8982
A;2;2;80;2;70;3511677;2.496;7125
A;1;2;80;5;106;128064242;2.709;6865
A;1;2;100;3;142;1479868534;81.618;20258
B;1;2;200;10;14;27327963;1.035;6151
B;1;2;300;1;28;352721478;11.437;27519
B;2;2;300;3;16;18383334;26.151;9305
A;2;2;100;7;256;27996835;178.561;35847
A;2;2;100;8;213;23299810;194.117;35786
B;1;2;400;4;17;306067201;9.870;19862
B;2;2;300;7;35;60359969;166.397;29218
A;1;2;100;7;260;5542292786;348.498;36812
B;1;2;500;3;55;3547598524;92.066;66366
B;1;2;500;7;61;10435028140;291.269;111050
B;2;2;400;2;29;120184035;492.630;48483
C;2;2;80;2;313;17876571;59.457;30781
C;2;2;80;4;257;16366184;57.511;29770
C;2;2;80;1;469;25142693;150.852;43643
C;1;2;80;8;258;2662628454;160.921;27276
C;2;2;80;6;400;23682030;198.387;42880
B;2;2;400;5;42;175890465;805.427;63749
A;2;2;120;8;286;63797973;1184.416;82831
A;2;2;120;7;322;74195773;1581.198;79163
D;1;2;40;3;605;7949185838;696.378;61261
D;2;2;40;10;378;7934606;38.377;27967
D;1;2;50;2;587;25314584671;2381.982;104784
B;2;2;500;8;45;385777246;2613.035;102703
A;1;3;50;1;544;718605621;35.141;20223
A;3;3;50;1;542;6068565;7.472;20038
A;1;3;50;2;451;787705388;41.167;19103
A;3;3;50;3;742;7595202;10.133;23729
A;1;3;50;4;552;593229631;30.518;17728
A;2;3;50;5;558;293007037;19.676;17439
A;1;3;50;6;845;2557230768;143.272;36706
A;3;3;60;3;1183;19769036;60.056;53055
A;3;3;60;4;968;14117251;27.094;38277
A;2;3;60;5;1406;1687624201;150.408;42094
A;2;3;60;8;1081;869712842;85.513;40011
A;1;3;60;9;952;3345825585;185.765;46407
A;2;3;60;9;950;2490816101;171.683;46276
A;3;3;70;1;2081;54273538;1020.093;128753
C;1;2;100;5;560;21350931871;1982.071;72544
D;1;2;50;8;679;51046623989;5417.450;151298
B;1;3;100;1;52;4779254;0.167;2603
B;2;3;100;1;50;3083860;0.408;2559
B;3;3;100;1;50;1298596;0.392;2559
B;1;3;100;2;23;6662096;0.253;3419
B;2;3;100;2;22;3070142;0.745;3389
B;3;3;100;2;22;1879452;0.678;3389
B;1;3;100;3;13;1546980;0.071;1436
B;2;3;100;3;13;882305;0.205;1371
B;3;3;100;3;13;692881;0.199;1371
B;1;3;100;4;10;4872014;0.179;3909
B;2;3;100;4;10;2704222;0.668;3900
B;3;3;100;4;10;1529180;0.656;3900
B;1;3;100;5;5;1336812;0.059;1161
B;2;3;100;5;5;583321;0.131;991
B;3;3;100;5;5;486416;0.123;991
B;1;3;100;6;7;823896;0.039;906
B;2;3;100;6;7;421942;0.098;884
B;3;3;100;6;7;366321;0.086;884
B;1;3;100;7;1;163480;0.012;323
B;1;3;100;8;8;708358;0.038;920
B;2;3;100;8;8;528708;0.104;916
B;3;3;200;3;42;29156619;33.496;23466
B;1;3;200;4;37;117088307;3.883;17314
B;2;3;200;4;37;48053633;21.265;17136
B;3;3;200;4;37;18903932;21.595;17136
B;2;3;200;5;52;99166989;21.984;19377
B;2;3;200;6;77;253690211;69.706;41357
B;2;3;200;7;50;115056422;21.973;24151
A;3;3;80;1;3133;138321634;7257.959;297991
A;3;3;80;6;5017;221015748;10326.885;411807
C;1;3;20;4;133;777225;0.022;834
C;2;3;20;4;133;399662;0.024;834
C;3;3;30;1;767;1345179;0.718;7746
C;2;3;30;1;767;50447185;1.986;7746
C;3;3;40;1;1874;8404506;16.311;36785
C;3;3;40;4;2884;9816210;15.824;45507
C;1;3;30;5;1943;567229851;19.683;19320
D;2;3;10;1;109;15539;0.001;175
C;1;3;40;2;1766;2144094562;62.650;32915
D;1;3;10;3;102;33654;0.002;178
D;3;3;10;2;68;5389;0.001;136
D;2;3;10;6;131;15285;0.002;182
D;3;3;10;4;99;5825;0.002;166
D;1;3;10;7;106;39155;0.002;196
D;3;3;20;1;2798;2102026;1.799;20903
D;3;3;20;4;6033;2168155;1.669;21773
D;2;3;20;9;2357;89594205;5.596;21469
D;1;3;20;6;7505;1082668728;70.587;32003
D;3;3;30;3;5092;33163652;344.555;184558
D;2;3;30;3;5092;5784143292;691.154;184558
D;1;3;30;4;10745;123712098207;14791.487;354550
A;2;2;40;5;19;139148;0.037;888
A;2;2;40;3;38;295594;0.104;1446
A;2;2;40;6;71;286557;0.090;1366
A;2;2;40;4;30;237131;0.051;1154
A;1;2;60;9;80;97318731;1.869;5724
A;1;2;80;2;71;151575588;3.256;7189
A;2;2;80;3;109;5434379;5.592;9351
A;2;2;100;5;178;13145314;28.894;21506
A;1;2;80;7;159;1274262533;54.768;20392
B;1;2;100;1;0;20;0.000;1
B;1;2;100;2;2;667383;0.034;934
B;2;2;100;2;2;379816;0.121;912
B;1;2;100;3;3;133508;0.009;345
B;2;2;100;3;3;102862;0.023;344
B;1;2;100;4;5;431575;0.027;638
B;1;2;100;5;3;455506;0.025;699
B;2;2;100;5;3;282720;0.075;676
B;1;2;100;6;5;246393;0.016;609
B;1;2;100;7;0;4;0.000;0
B;1;2;100;8;0;29;0.000;2
B;1;2;100;9;8;627325;0.035;767
B;1;2;100;10;5;562886;0.032;697
B;2;2;100;10;4;330881;0.089;685
B;1;2;200;1;8;31139520;1.084;9126
B;1;2;200;2;7;20803210;0.962;6540
B;2;2;200;2;6;7063755;7.414;6176
B;2;2;200;3;8;3369843;2.505;3145
B;1;2;200;5;14;29764416;1.105;7014
B;1;2;200;6;6;6285694;0.332;3041
B;2;2;200;6;6;3023458;2.136;2954
B;1;2;200;7;13;13541855;0.700;5045
B;2;2;200;7;10;5329798;4.220;4924
B;1;2;200;9;13;33390530;1.452;7186
B;2;2;200;9;12;8654366;7.059;6871
A;2;2;100;9;220;24932018;162.177;39454
B;2;2;300;1;27;50813292;132.748;26038
B;1;2;400;7;51;3921540199;117.442;76818
A;2;2;120;1;239;53358270;381.292;59106
A;2;2;120;9;291;47018038;463.050;57469
B;1;2;500;8;55;7980374316;209.020;109053
C;1;2;40;8;74;11649605;0.166;2114
C;2;2;40;8;72;518481;0.118;2106
C;1;2;40;9;115;33609373;0.562;4262
C;1;2;40;10;122;35360270;0.621;5022
C;1;2;60;1;241;475686933;15.652;15207
C;2;2;60;4;208;4603905;3.976;10957
C;2;2;60;5;194;4496348;4.426;11363
C;1;2;60;6;310;604588925;19.019;14042
C;1;2;60;9;277;881708389;32.306;18294
C;1;2;80;2;324;3657113685;175.031;32536
C;2;2;80;8;250;15601516;49.327;26781
B;2;2;500;4;31;155740252;696.297;53384
B;2;2;400;1;20;187405654;911.197;62581
C;1;2;80;10;383;6773590575;603.762;42703
D;2;2;30;5;267;2635685;5.493;13936
D;2;2;30;6;304;4422791;19.143;21232
D;1;2;30;7;293;275709396;8.985;13616
D;2;2;30;7;284;2638509;3.403;12901
D;2;2;30;8;263;3870571;13.598;19332
D;1;2;30;9;278;489772231;18.955;18507
D;2;2;30;10;175;1718371;1.668;8381
D;2;2;40;1;440;9193762;52.290;33131
D;1;2;40;2;452;3868696810;278.154;43590
D;1;2;40;7;460;2591872880;130.837;33784
D;1;2;40;9;492;4661648290;354.971;48719
C;1;2;100;2;535;24210232223;2115.332;76623
A;2;3;60;10;549;550255556;32.997;27033
A;3;3;60;10;549;11026583;11.143;27033
A;3;3;70;2;1070;37568080;199.221;81362
A;2;3;60;6;2731;10713241243;1124.694;94816
C;1;2;100;9;661;56520750927;5262.482;107361
A;1;3;70;2;1080;15934098648;1389.840;81619
C;2;2;100;6;510;56481347;1015.760;81667
A;1;2;120;8;291;23276017586;2107.564;84481
A;2;3;70;1;2081;31534476183;3393.198;128753
A;1;3;80;2;1657;52954024473;4916.583;128241
A;2;3;80;3;3512;25444851478;3718.491;156680
A;3;3;80;10;2191;63295003;669.862;126538
B;1;3;300;1;367;15108198438;610.518;164306
B;1;3;300;2;314;17683107418;715.136;186060
B;3;3;300;1;361;342233941;880.348;159283
B;3;3;300;2;306;340332436;1009.590;182146
A;2;3;80;10;2191;13154084788;2106.175;126538
B;1;3;300;5;352;7463711390;296.081;102487
B;3;3;300;5;338;207389401;443.894;100212
B;2;3;300;5;338;3014308890;556.479;100212
B;3;3;300;7;219;192331338;431.919;98204
B;3;3;300;8;75;126262205;302.177;73739
A;2;3;80;8;1751;14170566912;1639.973;129525
B;2;3;400;3;134;10550045553;4128.327;267251
A;1;3;80;5;2671;105604506342;9557.440;208702
B;3;3;400;9;382;1255627988;7050.331;465326
C;3;3;20;2;336;140337;0.051;1572
C;1;3;20;5;366;6137241;0.126;2021
C;2;3;20;7;311;2507306;0.091;2769
C;3;3;30;4;729;1338841;0.608;9393
C;3;3;30;8;1034;2036126;0.821;12618
C;2;3;30;2;679;70289311;2.493;8381
C;1;3;30;2;685;134922201;3.443;8394
C;3;3;40;7;3331;13596771;21.739;55099
C;3;3;40;3;2772;13934972;31.996;58477
C;2;3;40;2;1759;1340276850;65.223;32709
D;2;3;10;3;102;10476;0.001;178
D;1;3;10;4;99;33126;0.001;166
C;2;3;40;6;3244;1767752065;134.905;68761
D;3;3;10;6;131;5460;0.002;182
D;1;3;20;1;2861;440973703;12.741;21075
D;2;3;10;10;96;11310;0.002;148
D;3;3;10;10;96;4826;0.001;148
D;3;3;20;9;2357;1961030;1.200;21469
D;3;3;20;5;2759;1743092;1.603;17945
D;1;3;20;9;2401;346382688;19.258;21663
D;2;3;30;1;10338;25026888822;3599.193;290481
D;2;3;30;10;13420;35048181770;4894.121;333196
D;1;3;30;5;7443;69675785322;6891.651;230575
A;2;2;40;8;31;224718;0.069;1028
A;1;2;40;5;19;1006330;0.027;891
A;1;2;40;6;73;3684200;0.087;1366
A;2;2;40;7;58;428172;0.139;1860
A;1;2;60;10;70;20025545;0.343;3158
A;2;2;60;10;68;1182225;0.373;3115
A;2;2;80;10;110;4293114;3.159;7907
A;1;2;100;10;132;673600648;22.686;16719
A;1;2;80;1;111;768105964;28.883;21092
A;1;2;100;2;111;822414447;28.876;15366
A;1;2;80;6;144;1069971880;45.000;19918
A;2;2;120;10;154;22194853;66.851;26282
B;1;2;300;6;27;180192373;6.416;16675
B;1;2;300;7;36;551865689;16.737;31021
B;1;2;300;9;26;310461360;10.861;19872
B;2;2;300;9;25;40116747;73.794;19105
C;2;2;80;10;365;25559873;188.533;41607
B;2;2;400;7;47;221791565;1078.602;72234
C;2;2;100;4;406;48408670;453.087;64508
C;2;2;100;8;364;43613366;559.678;58529
A;1;2;120;9;302;14043828988;1227.017;58254
B;2;2;500;6;40;318904809;1801.253;85495
D;2;2;40;9;474;14262795;181.507;47385
D;2;2;40;8;581;18904484;387.849;66116
C;1;2;100;1;638;54661641113;5247.750;133889
A;2;3;60;2;747;1258544753;115.804;45186
A;1;3;60;3;1190;5586661864;382.793;53315
A;3;3;60;7;1317;16185683;56.871;54048
A;1;3;60;8;1088;3739271415;235.171;40396
A;1;3;60;10;552;1548431035;71.735;27148
D;1;2;50;4;546;24147875071;2167.055;109733
A;2;3;70;3;2059;5583493205;675.729;98939
A;2;3;70;4;1560;6444320225;642.608;90982
A;2;3;70;7;2291;8333778103;885.687;103042
A;3;3;70;9;1644;42167703;349.156;96884
A;1;3;70;1;2106;38886805610;3659.463;130120
B;2;3;200;9;89;219574721;40.667;26791
B;2;3;200;10;79;184309267;35.381;22567
B;1;3;300;7;222;5473458296;190.090;99689
B;1;3;300;8;80;2253750294;72.046;74888
B;2;3;300;8;75;1478469628;314.931;73739
B;1;3;300;10;148;7482756002;251.443;139384
B;3;3;300;10;147;226695204;558.957;136664
A;1;3;70;9;1653;17853636491;1583.541;97372
B;1;3;400;3;146;21931031100;716.563;276714
A;3;3;80;9;2065;94540178;1398.962;197619
