chub
n;m;t;i;s;opt;best;iter;time
int;int;float;int;int;float;float;int;float
100;5;0.50;8;7;44828;45020;4;0.156143
100;5;0.50;8;8;44828;45020;0;0.153731
100;5;0.50;8;9;44828;45020;4;0.141965
100;5;0.50;9;0;43441;43441;0;0.140494
100;5;0.50;9;1;43441;43441;1;0.139590
100;5;0.50;9;2;43441;43441;0;0.196946
100;5;0.50;9;3;43441;43441;0;0.208715
100;5;0.50;9;4;43441;43441;0;0.206585
100;5;0.50;9;5;43441;43441;5;0.214791
100;5;0.50;9;6;43441;43441;1;0.204758
100;5;0.50;9;7;43441;43441;0;0.208067
100;5;0.50;9;8;43441;43441;2;0.211588
100;5;0.50;9;9;43441;43441;0;0.212317
100;5;0.50;10;0;44511;44554;4;0.141185
100;5;0.50;10;1;44511;44554;1;0.144284
100;5;0.50;10;2;44511;44554;3;0.130190
100;5;0.50;10;3;44511;44554;0;0.141124
100;5;0.50;10;4;44511;44554;0;0.126946
100;5;0.50;10;5;44511;44554;0;0.126516
100;5;0.50;10;6;44511;44554;2;0.129824
100;5;0.50;10;7;44511;44554;1;0.125813
100;5;0.50;10;8;44511;44554;0;0.139311
100;5;0.50;10;9;44511;44554;0;0.129408
100;5;0.75;1;0;59798;59822;1;0.129447
100;5;0.75;1;1;59798;59822;5;0.127317
100;5;0.75;1;2;59798;59822;0;0.125542
100;5;0.75;1;3;59798;59822;2;0.136457
100;5;0.75;1;4;59798;59822;0;0.127258
100;5;0.75;1;5;59798;59822;1;0.133124
100;5;0.75;1;6;59798;59822;0;0.148916
100;5;0.75;1;7;59798;59822;6;0.144682
100;5;0.75;1;8;59798;59822;0;0.143836
100;5;0.75;1;9;59798;59822;0;0.143847
100;5;0.75;2;0;61964;62081;0;0.127731
100;5;0.75;2;1;61964;62081;1;0.125301
100;5;0.75;2;2;61964;62081;3;0.132191
100;5;0.75;2;3;61964;62081;3;0.127211
100;5;0.75;2;4;61964;62081;0;0.123855
100;5;0.75;2;5;61964;62081;1;0.131143
100;5;0.75;2;6;61964;62081;0;0.127668
