classe;np;n;i;pidb;nnodesb;compb;timeb;maxndb;hvb;pid0;time0;nsol0;hv0;comp0;pid2;time2;nsol2;hv2;comp2;
D;2;20;8;257030;210;365581;0.515;3352;4.635e+07;257032;9.149;204;4.633e+07;261294463;257048;3.645;204;4.633e+07;58421902;
D;2;20;9;257045;196;253569;0.246;2362;4.590e+07;257047;9.099;186;4.549e+07;259230148;257060;3.607;186;4.549e+07;53110573;
D;2;30;2;257059;219;2665231;7.810;14075;1.057e+08;257075;10.666;145;1.030e+08;262240590;257076;4.891;145;1.030e+08;63574978;
D;2;30;3;257073;358;4087784;24.897;19256;1.087e+08;257089;9.595;258;1.069e+08;266663651;257090;4.383;258;1.069e+08;60028223;
D;2;30;6;257087;304;4422791;39.660;21232;1.041e+08;257105;9.520;232;1.029e+08;271683627;257108;4.237;232;1.029e+08;64917892;
D;2;30;9;257101;271;3317384;19.499;18009;1.051e+08;257107;9.456;195;1.027e+08;264334532;257109;4.456;195;1.027e+08;51977712;
D;2;40;1;257120;440;9193762;104.169;33131;1.872e+08;257136;10.217;248;1.787e+08;269930725;257138;5.138;248;1.787e+08;59361821;
D;2;40;2;257131;428;12794774;192.336;41862;1.869e+08;257153;9.716;282;1.778e+08;258626468;257154;5.285;282;1.778e+08;58649529;
D;2;40;4;257149;451;13763006;252.990;47865;1.744e+08;257174;9.548;292;1.682e+08;257365261;257179;5.470;292;1.682e+08;58643421;
D;2;40;5;257166;304;11365798;162.470;39151;1.790e+08;257176;9.507;244;1.720e+08;259180321;257180;5.681;244;1.720e+08;62328547;
C;2;80;7;256531;516;46138843;1488.292;70272;9.462e+08;257178;9.884;196;8.634e+08;249545958;257181;11.473;196;8.634e+08;55202316;
D;2;40;9;257203;474;14262795;302.420;47385;1.905e+08;257227;9.638;270;1.809e+08;262141530;257228;4.772;270;1.809e+08;52945539;
D;2;40;8;257195;581;18904484;687.487;66116;1.866e+08;257258;9.700;355;1.769e+08;262418079;257259;5.259;355;1.769e+08;63364391;
D;2;50;5;257240;526;34456632;1478.771;95818;2.863e+08;257312;9.797;370;2.716e+08;263503041;257313;6.040;370;2.716e+08;59662107;
D;2;50;0;257214;667;44618887;4645.062;110363;2.897e+08;257596;9.881;328;2.787e+08;266829583;257597;5.462;328;2.787e+08;69748890;
D;2;50;6;257270;553;57375369;6394.891;144493;2.854e+08;257699;9.660;353;2.651e+08;262951511;257700;4.913;353;2.651e+08;62942631;
